S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S20-F3,S20-F3 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S23-F3,S23-F3 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S25-F3,S25-F3 sim,S26-F0,S26-F0 sim
N/A,N/A,0.72471255,"eventually[1,7](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,inf](IL1β(t) < c(low) and IL1Ra(t) < c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6461984,"IL1β(t) > c(low) and IL1Ra(t) > c(low) and globally[1,7](d_IL1β(t) < d_c(low)) and globally[8,14](d_IL1β(t) > d_c(high)) and globally[15,inf](d_IL1β(t) < d_c(high)) and IL1β(t) > c(mid) and IL1Ra(t) > c(low) and globally[1,7](d_IL1Ra(t) < d_c(low)) and globally[8,14](d_IL1Ra(t) > d_c(high)) and globally[15,inf](d_IL1Ra(t) < d_c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.54762965,IL1β(t) > c(mid) and IL1Ra(t) > c(mid) and IL1β(t) < c(mid) and IL1Ra(t) < c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.71992344,"eventually[1,7]globally(IL1β(t) > c(low)) and eventually[8,14]globally(IL1Ra(t) > c(high)) and eventually[15,inf]globally(IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7476385,"eventually[1,7]globally(IL1β(t) < c(mid)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[15,inf]globally(IL1Ra(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7145785,"eventually[1,7](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](IL1β(t) < c(high) and IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.72564167,"globally[1,7](IL1β(t) < c(mid)) and globally[8,14](IL1β(t) < c(high)) and eventually[15,inf](IL1β(t) < c(low)) and globally[1,7](IL1Ra(t) < c(mid)) and globally[8,14](IL1Ra(t) < c(high)) and eventually[15,inf](IL1Ra(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.68749315,"eventually[1,7]globally(d_IL1β(t) = c(low)) and eventually[8,14]globally(d_IL1β(t) = c(high)) and globally[15,inf](d_IL1β(t) = c(low)) and eventually[1,7]globally(d_IL1Ra(t) = c(low)) and eventually[8,14]globally(d_IL1Ra(t) = c(high)) and globally[15,inf](d_IL1Ra(t) = c(low))",0.6805485,"IL1β(t) < c(high) and IL1Ra(t) < c(high) and eventually[1,7]globally(IL1β(t) < c(high) and IL1Ra(t) < c(high)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](IL1β(t) > c(low) and IL1Ra(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.75024426,"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) > c(mid)) and eventually[15,inf](IL1β(t) < c(mid)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) > c(mid)) and eventually[15,inf](IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73833233,"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) < c(high)) and eventually[15,inf](IL1β(t) < c(low)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) < c(high)) and eventually[15,inf](IL1Ra(t) < c(low))"
N/A,N/A,N/A,N/A,N/A,N/A,0.7548621,"eventually[1,7](IL1β(t) > c(mid)) and eventually[8,14](IL1β(t) > c(high)) and eventually[15,inf](IL1β(t) < c(mid)) and eventually[1,7](IL1Ra(t) > c(mid)) and eventually[8,14](IL1Ra(t) > c(high)) and eventually[1,7](IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.75537205,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > d_c(high)) and eventually[15,inf]globally(d_IL1β(t) < c(mid)) and d_IL1Ra(t) < c(mid)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7335098,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1β(t) = c(high)) and eventually[15,inf](IL1Ra(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.6928133,"eventually[1,7]globally(d_IL1β(t) > c(low)) implies eventually[8,14]globally(d_IL1Ra(t) > c(low)) and d_IL1Ra(t) < c(high) and eventually[15,inf]globally(d_IL1β(t) < c(low))",,,,,0.716636,"IL1β(t) > c(mid) and IL1Ra(t) > c(mid) and d_IL1β(t) < 0 and d_IL1Ra(t) < 0 and eventually[8,14]globally(IL1β(t) = c(mid) and IL1Ra(t) = c(mid)) and IL1β(t) < c(mid) and IL1Ra(t) < c(mid) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0 and eventually[15,inf]globally(IL1β(t) < c(mid) and IL1Ra(t) < c(mid))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7465791,"eventually[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) = c(high)) and eventually[14,inf](IL1β(t) > c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7199873,"IL1β(t) > c(mid) and IL1Ra(t) > c(mid) and eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) = c(mid)) and eventually[15,inf](IL1β(t) < c(mid)) and IL1Ra(t) > c(mid) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) = c(mid)) and eventually[15,inf](IL1Ra(t) < c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7074504,"eventually[1,14](d_IL1β(t) > d_c(low)) and eventually[15,inf](d_IL1Ra(t) < d_c(high))",,,,,0.6982025,"eventually[1,7]globally(d_IL1β(t) > 0) and eventually[8,14]globally(d_IL1β(t) > 0) and eventually[15,inf]globally(d_IL1β(t) < 0) and eventually[1,7]globally(d_IL1Ra(t) > 0) and eventually[8,14]globally(d_IL1Ra(t) > 0) and eventually[15,inf]globally(d_IL1Ra(t) < 0)",,,,,,,0.71441287,"eventually[1,7]globally(IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,inf]globally(IL1β(t) < c(low) and IL1Ra(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.71751416,"eventually[1,7](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](IL1β(t) > c(low) and IL1Ra(t) > c(low))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.7494674,"globally[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and globally[15,inf](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.70824945,"eventually[1,7](IL1β(t) < c(high) and IL1Ra(t) < c(high)) implies globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](IL1β(t) > c(low) and IL1Ra(t) > c(low))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
