Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.88970625,0
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(high))",0.896806,0
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[∞,∞]globally(TNFα(t) < c(high))",0.8307221,0
"eventually[1,7](TNFα(t) = c(mid)) and eventually[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.8671882,0
"globally[1,7](TNFα(t)=c(high)) and globally[8,14](TNFα(t)=c(high)) and eventually[15,∞](TNFα(t)>c(low))",0.86953807,0
N/A,N/A,0
N/A,N/A,0
"eventually[1,7]globally(TNFα(t)=c(high)) and eventually[8,14]globally(TNFα(t)=c(high)) and eventually[15,∞]globally(TNFα(t)=c(low))",0.85293764,0
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[∞,∞]globally(TNFα(t) < c(low))",0.8352349,0
"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.88849235,0
"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.88849235,0
"eventually[1,7]globally(TNFα(t)=c(high)) and eventually[8,14]globally(TNFα(t)=c(high)) and eventually[14,∞]globally(TNFα(t)=c(low))",0.84947634,0
"eventually[1,7](TNFα(t) > c(mid)) and eventually[8,14](TNFα(t) > c(mid)) and eventually[15,∞](TNFα(t) < c(high))",0.8868169,0
N/A,N/A,0
N/A,N/A,0
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8710848,0
"eventually[1,7](TNFα(t) > c(mid))",0.88515973,0
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8710848,0
