Sentence,Number of Times Semantic Feedback Portion Reached,Number of improving translations (relative to initial result) across all attempts,Number of worsening translations (relative to initial result) across all attempts,Number of consistent translations (relative to initial result) across all attempts
"From day 8 to 18 eventually at every point in that interval the rate of change of IL1RN was close to a fast, increasing rate.",17.0,7.0,18.0,9.0
From day 12 onward if IL-1β was above its low levels then eventually at every point in that interval the rate of change of IL1RN was decreasing.,12.0,3.0,20.0,1.0
From day 20 onward at every point in that interval SARS-CoV-2 was above its low levels.,18.0,11.0,19.0,6.0
If IL-1β was below its low levels then IL-6 was close to its low levels.,18.0,9.0,10.0,17.0
"If from day 8 to 10 eventually in that interval the rate of change of IFN-α was close to a fast, increasing rate, then from day 0 to 15 at every point in that interval IL-8 was below its moderate levels.",14.0,7.0,21.0,0.0
If IFN-β was close to its low levels then IL-6 was below its high levels.,16.0,7.0,16.0,9.0
"The rate of change of IL-1Ra was increasing and the rate of change of IL-1Ra was increasing slower than a low rate, and if TNF-α was close to its low levels then IL-6 was above its low levels.",9.0,0.0,17.0,1.0
From day 17 onward eventually at every point in that interval IL-1Ra was below its high levels.,18.0,3.0,17.0,16.0
If the rate of change of IFN-α was increasing then IL1RN was below its moderate levels.,15.0,5.0,21.0,4.0
From day 5 to 11 eventually at every point in that interval SARS-CoV-2 was below its moderate levels.,18.0,11.0,15.0,10.0
If the rate of change of IL-12 was increasing then IL-8 was close to its moderate levels.,15.0,7.0,20.0,3.0
From day 6 to 18 eventually at every point in that interval the rate of change of IL-6 was increasing.,18.0,10.0,20.0,6.0
"If from day 7 to 18 eventually at every point in that interval IL-1Ra was close to its moderate levels, then from day 3 onward at every point in that interval IL-6 was below its high levels.",14.0,12.0,14.0,2.0
From day 0 to 18 eventually at every point in that interval IL-6 was close to its high levels.,18.0,10.0,12.0,14.0
From day 9 to 12 at every point in that interval IFN-α was close to its low levels.,17.0,9.0,17.0,8.0
"If from day 3 to 12 eventually in that interval the rate of change of IL-12 was decreasing, then from day 2 to 16 eventually at every point in that interval IL-8 was below its high levels.",16.0,10.0,19.0,3.0
Overall,,121.0,276.0,109.0
