Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,2]globally(d_IFNα(t) > 0 and d_IFNβ(t) > 0) and globally[0,2](IL1RN(t) = c(high))",0.4932102,"eventually[0,2]globally(d_IFNα(t) > 0 and d_IFNβ(t) > 0) and globally[0,2](IL1RN(t) = c(high))",0.4932102,"eventually[0,2]globally(d_IFNα(t) > 0 and d_IFNβ(t) > 0) and globally[0,2](IL1RN(t) = c(high))",0.4932102,0,0,2
"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269768,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269768,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269768,0,0,2
"eventually[0,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t)=c(mid) and IL1β(t)=c(mid)",0.48986393,"eventually[0,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t)=c(mid) and IL1β(t)=c(mid)",0.48986393,"eventually[0,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t)=c(mid) and IL1β(t)=c(mid)",0.48986393,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[0,3](IFNα(t) > c(high))",0.5139241,"eventually[0,3](IFNα(t) > c(high))",0.5139241,"eventually[0,3](IFNα(t) > c(high))",0.5139241,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[0,24](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IFNα(t) = c(mid) and IFNβ(t) = c(mid)",0.5254119,"eventually[0,24](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IFNα(t) = c(mid) and IFNβ(t) = c(mid)",0.5254119,"eventually[0,24](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IFNα(t) = c(mid) and IFNβ(t) = c(mid)",0.5254119,0,0,2
"eventually[0,∞]globally(IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5408641,"eventually[0,∞]globally(IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5408641,"eventually[0,∞]globally(IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5408641,0,0,2
"globally[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5062183,"globally[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5062183,"globally[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5062183,0,0,2
"globally[0,∞](IFNα(t)=c(high) and IFNβ(t) > c(high))",0.51893294,"globally[0,∞](IFNα(t)=c(high) and IFNβ(t) > c(high))",0.51893294,"globally[0,∞](IFNα(t)=c(high) and IFNβ(t) > c(high))",0.51893294,0,0,2
