Input Sentence,STL Extraction Success Rate,STL Parsing Success Rate,Number of Translations,Number of Syntactically Correct Translations,Semantic Passes,Semantic Success Rate
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",0.8428571428571429,0.5254237288135593,70,30.999999999999996,0,0.0
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,0.6582278481012658,0.46153846153846156,79,24.0,0,0.0
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",0.6736842105263158,0.359375,95,23.0,22,0.9565217391304348
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel
i).",0.735632183908046,0.46875,87,30.000000000000004,0,0.0
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",0.7837837837837838,0.22413793103448276,74,13.0,0,0.0
Circulating IL-1α also was not detected (fig. S9F).,0.6538461538461539,0.3970588235294118,104,27.000000000000004,0,0.0
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a rolefor the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0.6938775510204082,0.23529411764705888,49,8.000000000000002,0,0.0
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",0.6146788990825688,0.26865671641791045,109,17.999999999999996,0,0.0
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",0.5375,0.3023255813953488,80,12.999999999999998,0,0.0
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).",0.7160493827160495,0.3793103448275862,81,22.000000000000004,0,0.0
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,0.8947368421052632,0.9019607843137255,57,46.00000000000001,0,0.0
"Most cytokines observed in previous publications of “cytokine storms” in association with disease severity (9, 10, 14) were observed only in the late stage of severe cases, mostly at 4 weeks after onset of symptom — for example, IL-6, IL-12, IL-1β, IFN-γ, IL-17, and IL-27.",0.7794117647058824,0.09433962264150941,68,4.999999999999999,0,0.0
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",0.7530864197530864,0.5573770491803278,81,34.0,0,0.0
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A). ",0.6538461538461539,0.3088235294117647,104,21.0,0,0.0
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",0.7972972972972973,0.0847457627118644,74,4.999999999999999,0,0.0
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0.6704545454545454,0.35593220338983056,88,21.0,12,0.5714285714285714
Overall,0.7061538461538461,0.3714596949891068,1300,341.00000000000006,34,0.09970674486803517
