Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5021812,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5021812,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5021812,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[0,∞]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high))",0.35379434,"eventually[0,∞]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high))",0.35379434,"eventually[1,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5240226,1
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IL1β(t) = c(mid) and IL1Ra(t) = c(mid))",0.49843076,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IL1β(t) = c(mid) and IL1Ra(t) = c(mid))",0.49843076,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IL1β(t) = c(mid) and IL1Ra(t) = c(mid))",0.49843076,0
"eventually[0,∞]globally(IL1β(t)=c(high) and IFNβ(t)=c(high))",0.4968897,"eventually[0,∞]globally(IL1β(t)=c(high) and IFNβ(t)=c(high))",0.4968897,"eventually[0,∞]globally(IL1β(t)=c(high) and IFNβ(t)=c(high))",0.4968897,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[0,∞](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and IL6(t)=c(mid)",0.32728446,"eventually[0,∞](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and TNFα(t) = c(low) and IFNα(t) = c(low) and IFNβ(t) = c(low)",0.47679397,"eventually[0,∞](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and TNFα(t) = c(low) and IFNα(t) = c(low) and IFNβ(t) = c(low)",0.47679397,2
"globally[0,∞](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.51296806,"globally[0,∞](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.51296806,"globally[0,∞](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.51296806,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL6(t) = c(high) and IL12(t) = c(high) and IL1β(t) = c(high) and IL1Ra(t) = c(high) and TNFα(t) = c(high) and IL8(t) = c(high) and IFNα(t) = c(high) and IFNβ(t) = c(high) and SARSCoV2(t) = c(high) and IL1RN(t) = c(high)",0.4833627,"globally[0,∞](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5125743,"globally[0,∞](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5125743,2
"eventually[0,24](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IFNα(t) = c(high) and IFNβ(t) = c(high)",0.52571255,"eventually[0,24](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IFNα(t) = c(high) and IFNβ(t) = c(high)",0.52571255,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) > c(mid)",0.5294405,1
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,0
N/A,N/A,N/A,N/A,N/A,N/A,0
