S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S18-F0,S18-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim
0.45500758,"eventually[17,19]globally(IL1Ra(t) > c(high) and IgG(t) > c(high)) and eventually[17,19]globally(IgM(t) < c(low) and IgG(t) > c(high)) and eventually[17,19]globally(IgG(t) > c(high) and d_IgG(t) = d_c(high)) and eventually[17,19]globally(IL1Ra(t) > c(high) and d_IL1Ra(t) = d_c(high))",,,,,0.365407,"eventually[17,19]globally(IL6(t) = c(mid)) and d_IL12(t) > d_c(low) and d_IL8(t) < d_c(high) and IL1β(t) = c(mid) and TNFα(t) = c(mid) and IFNα(t) = c(mid) and IFNβ(t) = c(mid) and SARSCoV2(t) = c(mid) and IL1RN(t) = c(mid)",,,,,0.25180954,"eventually[17,19](IL6(t) = c(mid)) implies globally[17,19](IL12(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52484107,"eventually[17,19]globally(IL6(t) = c(mid) and IgG(t) = c(high)) and d_IgG(t) > d_c(high) and d_IgM(t) < d_c(high)",,,,,0.28725952,"eventually[17,19]globally(IL6(t) = c(mid) and IL12(t) = c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.5247356,"eventually[17,19]globally(IgM(t) = c(low) and IgG(t) > c(low)) and globally[17,19](IgG(t) = c(mid) implies d_IgG(t) = d_c(high)) and eventually[17,19]globally(IgM(t) = c(low) and d_IgM(t) = 0)",0.38828525,"eventually[17,19]globally(IL6(t) < c(mid)) and eventually[17,19]globally(IL12(t) < c(mid)) and eventually[17,19]globally(IL1β(t) < c(mid)) and eventually[17,19]globally(IL1Ra(t) < c(mid)) and eventually[17,19]globally(IL8(t) < c(mid)) and eventually[17,19]globally(IFNα(t) < c(mid)) and eventually[17,19]globally(IFNβ(t) < c(mid)) and eventually[17,19]globally(SARSCoV2(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.54420435,"eventually[17,19](SARSCoV2(t) > c(high) implies d_IgG(t) = d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.2695642,"eventually[17,19]globally(IL6(t)=c(mid))",N/A,N/A,N/A,N/A,0.46809748,"d_IgM(t) < 0 implies IgM(t) = c(low) and d_IgG(t) > 0 and eventually[inf,inf]globally(IgG(t) > c(low))",0.26556268,"globally[17,19](IL1β(t) = c(mid) and IL1β(t) > c(mid)) implies eventually[17,19](d_IL1β(t) = 0)",0.27802032,"eventually[17,19]globally(IL6(t) = c(mid)) and d_IL6(t) > 0",N/A,N/A,N/A,N/A,0.6307667,"eventually[17,19]globally(IgM(t) < c(low) and IgG(t) > c(low))",0.3212889,"eventually[17,19]globally(IL1β(t) = c(mid) and IL8(t) = c(low)) and d_IL6(t) > d_c(high) and d_IL12(t) > d_c(high) and d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high) and d_SARSCoV2(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and d_TNFα(t) > d_c(high) and d_IL1β(t) > d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4691849,"eventually[17,19]globally(IL6(t) = c(high) and IgG(t) = c(high)) and globally[17,19](d_IgG(t) = d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.32388213,"globally[17,19](IL1β(t) < c(low) and IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.5101075,"eventually[17,19](IgM(t) > c(low)) and eventually[17,19](IgG(t) > c(high)) and d_IgM(t) = d_c(high) and d_IgG(t) = d_c(high) and d_IgM(t) > c(mid) and IgG(t) > c(high)",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46261716,"globally[17,19](d_IgG(t) > 0)",,,,,0.3663516,"globally[17,19](IL6(t) = c(mid)) and globally[17,19](IL12(t) = c(mid)) and globally[17,19](IL1β(t) = c(mid)) and globally[17,19](TNFα(t) = c(mid)) and globally[17,19](IL8(t) = c(mid)) and globally[17,19](IFNα(t) = c(mid)) and globally[17,19](IFNβ(t) = c(mid)) and globally[17,19](SARSCoV2(t) = c(mid)) and globally[17,19](IL1RN(t) = c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43925846,"eventually[17,19]globally(IL1β(t) = c(mid)) and globally[17,19](IL6(t) > c(low) implies d_IL6(t) < d_c(low)) and globally[17,19](IL1Ra(t) = c(mid)) and globally[17,19](IgM(t) < c(mid)) and globally[17,19](IgG(t) > c(low) implies d_IgG(t) < d_c(low)) and globally[17,19](d_IgG(t) = d_c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49929178,"eventually[17,19]globally(IL6(t)=c(mid) and IgG(t)=c(mid)) and d_IgG(t) = 0",,,,,0.37059373,"eventually[17,19]globally(IL6(t) < c(low)) and eventually[17,19]globally(IL12(t) < c(low)) and eventually[17,19]globally(IL1β(t) < c(low)) and eventually[17,19]globally(IL1Ra(t) < c(low)) and eventually[17,19]globally(TNFα(t) < c(low)) and eventually[17,19]globally(IL8(t) < c(low)) and eventually[17,19]globally(IFNα(t) < c(low)) and eventually[17,19]globally(IFNβ(t) < c(low)) and eventually[17,19]globally(SARSCoV2(t) < c(low)) and eventually[17,19]globally(IL1RN(t) < c(low))",,,,,0.27912313,"eventually[17,19]globally(IL6(t) > c(mid) and d_IL6(t)=d_c(low)) and eventually[17,19]globally(IL12(t) > c(mid) and d_IL12(t)=d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49109125,"globally[17,19](IgG(t) > c(high)) and eventually[17,19](IgM(t) < c(low)) and IL8(t) < c(low) and d_IgG(t) = d_c(high) and d_IgM(t) < d_c(high)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
