Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[0,7]globally(IL6(t) > c(mid)) implies eventually[7,∞](d_IL6(t) < 0)",0.7143833,"eventually[0,7]globally(IL6(t)=c(high) and d_IL6(t) < d_c(high)) and globally[7,∞](IL6(t) < c(high))",0.73667336,"eventually[0,7]globally(IL6(t)=c(high) and d_IL6(t) < d_c(high)) and globally[7,∞](IL6(t) < c(high))",0.73667336,2,0,0
"eventually[0,7]globally(IL6(t) > c(mid) and d_IL6(t) < d_c(high)) and globally[7,∞](IL6(t) < c(mid))",0.7742581,"eventually[0,7]globally(IL6(t) > c(mid) and d_IL6(t) < d_c(high)) and globally[7,∞](IL6(t) < c(mid))",0.7742581,"eventually[0,7]globally(IL6(t) > c(mid) and d_IL6(t) < d_c(high)) and globally[7,∞](IL6(t) < c(mid))",0.7742581,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[1,7](IL6(t) = c(high)) and d_IL6(t) < d_c(high)",0.70646393,"globally[1,7](IL6(t) = c(high)) and d_IL6(t) < d_c(high)",0.70646393,"globally[1,7](IL6(t) = c(high)) and d_IL6(t) < d_c(high)",0.70646393,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[0,7](IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(low))",0.69255894,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(low))",0.7151816,"eventually[0,7]globally(IL6(t) = c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",0.7266917,2,0,0
"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(high))",0.75189793,"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(high))",0.75189793,"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(high))",0.75189793,0,0,2
"eventually[1,∞](IL6(t) > c(high)) and globally[1,∞](IL6(t) < c(low))",0.7042855,"eventually[1,∞](IL6(t) > c(high)) and globally[1,∞](IL6(t) < c(low))",0.7042855,"globally[1,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",0.75905716,1,0,1
"eventually[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(low))",0.7085433,"eventually[0,7]globally(IL6(t) < c(mid)) and eventually[7,∞]globally(IL6(t) > c(low))",0.7470885,"eventually[0,7]globally(IL6(t) < c(mid)) and eventually[7,∞]globally(IL6(t) > c(low))",0.7470885,2,0,0
"globally[0,7](IL6(t) = c(high))",0.672396,"globally[0,7](IL6(t) = c(high))",0.672396,"globally[0,7](IL6(t) > c(high) and d_IL6(t) < 0) and eventually[7,∞]globally(d_IL6(t) < 0)",0.7353742,1,0,1
"eventually[0,7](IL6(t)=c(mid) and IL6(t)=c(low)) and d_IL6(t) < d_c(high)",0.7400609,"eventually[0,7](IL6(t)=c(mid) and IL6(t)=c(low)) and d_IL6(t) < d_c(high)",0.7400609,"eventually[0,7](IL6(t)=c(mid) and IL6(t)=c(low)) and d_IL6(t) < d_c(high)",0.7400609,0,0,2
"globally[0,7](IL6(t) = c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(high))",0.69450897,"globally[0,7](IL6(t) = c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(high))",0.69450897,"eventually[0,7]globally(IL6(t)=c(mid) and IL6(t)=c(low)) and eventually[7,∞]globally(IL6(t) < c(low))",0.7718278,1,0,1
"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",0.71358335,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",0.71358335,"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(mid))",0.7498578,1,0,1
"IL6(t) < c(high) and globally[0,1](IL6(t) > c(high)) and globally[1,∞](IL6(t) < c(high))",0.73053795,"eventually[0,∞]globally(IL6(t) > c(mid) and IL6(t) < c(high)) and d_IL6(t) < d_c(high)",0.7339472,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",0.7461998,2,0,0
"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low) and IL6(t) < c(mid))",0.81117594,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low) and IL6(t) < c(mid))",0.81117594,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low) and IL6(t) < c(mid))",0.81117594,0,0,2
"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(low))",0.7151816,"IL6(t) < c(high) and globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.74794376,"IL6(t) < c(high) and globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.74794376,2,0,0
