Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[17,19]globally(IL1Ra(t) > c(high) and IgG(t) > c(high)) and eventually[17,19]globally(IgM(t) < c(low) and IgG(t) > c(high)) and eventually[17,19]globally(IgG(t) > c(high) and d_IgG(t) = d_c(high)) and eventually[17,19]globally(IL1Ra(t) > c(high) and d_IL1Ra(t) = d_c(high))",0.45500758,"eventually[17,19]globally(IL6(t) = c(mid)) and d_IL12(t) > d_c(low) and d_IL8(t) < d_c(high) and IL1β(t) = c(mid) and TNFα(t) = c(mid) and IFNα(t) = c(mid) and IFNβ(t) = c(mid) and SARSCoV2(t) = c(mid) and IL1RN(t) = c(mid)",0.365407,"eventually[17,19](IL6(t) = c(mid)) implies globally[17,19](IL12(t) > c(high))",0.25180954,0,2,0
"eventually[17,19]globally(IL6(t) = c(mid) and IgG(t) = c(high)) and d_IgG(t) > d_c(high) and d_IgM(t) < d_c(high)",0.52484107,"eventually[17,19]globally(IL6(t) = c(mid) and IL12(t) = c(mid))",0.28725952,N/A,N/A,0,2,0
"eventually[17,19](IgM(t) > c(low)) and eventually[17,19](IgG(t) > c(high)) and d_IgM(t) = d_c(high) and d_IgG(t) = d_c(high) and d_IgM(t) > c(mid) and IgG(t) > c(high)",0.5101075,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[17,19](d_IgG(t) > 0)",0.46261716,"globally[17,19](IL6(t) = c(mid)) and globally[17,19](IL12(t) = c(mid)) and globally[17,19](IL1β(t) = c(mid)) and globally[17,19](TNFα(t) = c(mid)) and globally[17,19](IL8(t) = c(mid)) and globally[17,19](IFNα(t) = c(mid)) and globally[17,19](IFNβ(t) = c(mid)) and globally[17,19](SARSCoV2(t) = c(mid)) and globally[17,19](IL1RN(t) = c(mid))",0.3663516,N/A,N/A,0,2,0
"eventually[17,19]globally(IL1β(t) = c(mid)) and globally[17,19](IL6(t) > c(low) implies d_IL6(t) < d_c(low)) and globally[17,19](IL1Ra(t) = c(mid)) and globally[17,19](IgM(t) < c(mid)) and globally[17,19](IgG(t) > c(low) implies d_IgG(t) < d_c(low)) and globally[17,19](d_IgG(t) = d_c(low))",0.43925846,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[17,19]globally(IL6(t)=c(mid) and IgG(t)=c(mid)) and d_IgG(t) = 0",0.49929178,"eventually[17,19]globally(IL6(t) < c(low)) and eventually[17,19]globally(IL12(t) < c(low)) and eventually[17,19]globally(IL1β(t) < c(low)) and eventually[17,19]globally(IL1Ra(t) < c(low)) and eventually[17,19]globally(TNFα(t) < c(low)) and eventually[17,19]globally(IL8(t) < c(low)) and eventually[17,19]globally(IFNα(t) < c(low)) and eventually[17,19]globally(IFNβ(t) < c(low)) and eventually[17,19]globally(SARSCoV2(t) < c(low)) and eventually[17,19]globally(IL1RN(t) < c(low))",0.37059373,"eventually[17,19]globally(IL6(t) > c(mid) and d_IL6(t)=d_c(low)) and eventually[17,19]globally(IL12(t) > c(mid) and d_IL12(t)=d_c(low))",0.27912313,0,2,0
"globally[17,19](IgG(t) > c(high)) and eventually[17,19](IgM(t) < c(low)) and IL8(t) < c(low) and d_IgG(t) = d_c(high) and d_IgM(t) < d_c(high)",0.49109125,N/A,N/A,N/A,N/A,0,2,0
"eventually[17,19]globally(IgM(t) = c(low) and IgG(t) > c(low)) and globally[17,19](IgG(t) = c(mid) implies d_IgG(t) = d_c(high)) and eventually[17,19]globally(IgM(t) = c(low) and d_IgM(t) = 0)",0.5247356,"eventually[17,19]globally(IL6(t) < c(mid)) and eventually[17,19]globally(IL12(t) < c(mid)) and eventually[17,19]globally(IL1β(t) < c(mid)) and eventually[17,19]globally(IL1Ra(t) < c(mid)) and eventually[17,19]globally(IL8(t) < c(mid)) and eventually[17,19]globally(IFNα(t) < c(mid)) and eventually[17,19]globally(IFNβ(t) < c(mid)) and eventually[17,19]globally(SARSCoV2(t) < c(mid))",0.38828525,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[17,19](SARSCoV2(t) > c(high) implies d_IgG(t) = d_c(high))",0.54420435,N/A,N/A,"eventually[17,19]globally(IL6(t)=c(mid))",0.2695642,0,2,0
"d_IgM(t) < 0 implies IgM(t) = c(low) and d_IgG(t) > 0 and eventually[inf,inf]globally(IgG(t) > c(low))",0.46809748,"globally[17,19](IL1β(t) = c(mid) and IL1β(t) > c(mid)) implies eventually[17,19](d_IL1β(t) = 0)",0.26556268,"eventually[17,19]globally(IL6(t) = c(mid)) and d_IL6(t) > 0",0.27802032,0,2,0
"eventually[17,19]globally(IgM(t) < c(low) and IgG(t) > c(low))",0.6307667,"eventually[17,19]globally(IL1β(t) = c(mid) and IL8(t) = c(low)) and d_IL6(t) > d_c(high) and d_IL12(t) > d_c(high) and d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high) and d_SARSCoV2(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and d_TNFα(t) > d_c(high) and d_IL1β(t) > d_c(high)",0.3212889,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[17,19]globally(IL6(t) = c(high) and IgG(t) = c(high)) and globally[17,19](d_IgG(t) = d_c(high))",0.4691849,N/A,N/A,"globally[17,19](IL1β(t) < c(low) and IL12(t) = c(mid))",0.32388213,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
