Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,2]globally(SARSCoV2(t)=c(mid))",0.5355408,"eventually[0,14]globally(SARSCoV2(t) = c(low))",0.5056534,"eventually[0,2]globally(IL1RN(t) = c(low))",0.23648569,0,2,0
"globally[0,14](SARSCoV2(t) = c(mid)) and eventually[0,14](SARSCoV2(t) = c(mid))",0.5129819,N/A,N/A,"globally[0,2](SARSCoV2(t)=c(low))",0.49172598,0,2,0
SARSCoV2(t) = c(mid),0.50820386,"eventually[0,14]globally(TNFα(t) < c(low) and IL1β(t) = c(mid)) and d_TNFα(t) > 0",0.37475222,"eventually[0,2]globally(SARSCoV2(t)=c(mid))",0.5355408,1,1,0
"globally[0,2](SARSCoV2(t) > c(mid))",0.5050072,N/A,N/A,"eventually[0,14](SARSCoV2(t) > c(mid))",0.52645826,1,1,0
"IL1β(t) = c(high) and eventually[0,14]globally(IL6(t) > c(high))",0.36261874,"eventually[0,14]globally(SARSCoV2(t) = c(mid))",0.53144205,N/A,N/A,1,1,0
"eventually[0,2](SARSCoV2(t) = c(low)) and globally[0,inf](d_SARSCoV2(t) > 0)",0.4871532,N/A,N/A,"eventually[0,14]globally(SARSCoV2(t)=c(mid))",0.53144205,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,2](SARSCoV2(t) = c(mid))",0.53429276,"eventually[0,2](SARSCoV2(t) = c(low))",0.5128979,"eventually[0,14]globally(SARSCoV2(t) > c(low))",0.50080466,0,2,0
"globally[0,14](SARSCoV2(t)=c(mid))",0.5073979,"eventually[14,inf]globally(SARSCoV2(t) > c(mid))",0.5073186,"eventually[14,28](SARSCoV2(t) < c(low))",0.51625293,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"IL1β(t) > c(low) and eventually[0,14]globally(SARSCoV2(t)=c(high) implies IL1β(t) > c(low))",0.56226265,"eventually[0,14]globally(SARSCoV2(t) = c(mid))",0.53144205,"eventually[0,2](SARSCoV2(t) > c(high)) and IL1RN(t) < c(low)",0.5095444,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,2]globally(IL1RN(t) = c(mid)) and IL1β(t)=c(low)",0.39071852,N/A,N/A,"eventually[14,inf](IL6(t) > c(low))",0.23646712,0,2,0
"eventually[0,14]globally(SARSCoV2(t) > c(low))",0.50080466,"eventually[0,14]globally(IL1Ra(t) > c(mid))",0.2478404,"eventually[0,14](SARSCoV2(t) = c(low))",0.5068073,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,2]globally(SARSCoV2(t) > c(low))",0.50702584,"eventually[0,inf]globally(SARSCoV2(t)=c(mid))",0.5212544,"eventually[0,14](SARSCoV2(t) = c(mid))",0.5323291,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
