S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high)) and IL6(t) < c(low)",,,,,,,0.19429182,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",N/A,N/A,N/A,N/A,0.19429182,IFNα(t) > c(high) and IFNβ(t) > c(high) and d_IFNα(t) > 0 and d_IFNβ(t) > 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,d_IL1Ra(t) > d_c(high),N/A,N/A,0.19429182,"eventually[0,1](IL6(t) > c(low)) and eventually[0,1](IL12(t) > c(low)) and eventually[0,1](IL1β(t) > c(low)) and eventually[0,1](IL1Ra(t) > c(low)) and eventually[0,1](TNFα(t) > c(low)) and eventually[0,1](IL8(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞]globally(d_IFNα(t) > d_c(high)) and d_IFNβ(t) > d_c(high) and IFNα(t) = c(mid) and IFNβ(t) = c(mid)"
0.19429182,"eventually[0,∞]globally(IFNα(t)=c(high) and IFNβ(t)=c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞]globally(IL1β(t) > c(high) and d_IL1Ra(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[0,12]globally(IL1β(t)=c(high) and IL1Ra(t)=c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) = c(low) and SARSCoV2(t) > c(high)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.19429182,"eventually[0,2](IFNα(t) > c(high)) and SARSCoV2(t) < c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
