S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim
0.7451376,"eventually[1,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.71372366,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,0.7659949,"globally[0,∞](IL6(t) > c(mid) and IL6(t) < c(low)) and eventually[0,7]globally(IL6(t) = c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7326628,"globally[0,7](IL6(t)=c(high)) and d_IL6(t) < 0",N/A,N/A,0.7155893,"eventually[0,7]globally(IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.6884291,"globally[0,7](IL6(t)=c(high)) and globally[7,∞](d_IL6(t) < d_c(high))",N/A,N/A,0.74619985,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",N/A,N/A,0.7447804,"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,0.70481527,"globally[0,1](IL6(t) > c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",N/A,N/A,0.720296,"eventually[1,7]globally(IL6(t) > c(high)) and d_IL6(t) < d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.7151062,"globally[0,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.71372366,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,0.7543994,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7794192,"eventually[0,7]globally(IL6(t) > c(high)) and IL6(t) < c(mid)",0.72729766,"globally[1,7](IL6(t) = c(mid) and d_IL6(t)=0) implies eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.6862037,"eventually[0,7]globally(IL6(t) < c(high)) implies eventually[0,7]globally(IL6(t) < c(low))",0.7748975,"eventually[0,7]globally(IL6(t) = c(mid)) and eventually[7,∞]globally(IL6(t) < c(low)) and eventually[0,7]globally(d_IL6(t) < 0)",N/A,N/A,0.70975316,"eventually[1,7]globally(IL6(t) = c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(high))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.756342,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(low)) and d_IL6(t) < d_c(high)",N/A,N/A,0.69380534,"globally[0,7](IL6(t) > c(high)) and globally[7,∞](d_IL6(t) < d_c(high))",N/A,N/A,0.7438108,"eventually[1,7]globally(IL6(t) = c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.655434,"globally[0,7](IL6(t)=c(high) implies d_IL6(t) < d_c(high))",0.6917238,"eventually[0,7]globally(IL6(t)=c(high)) implies eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,0.7663942,"eventually[1,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(IL6(t)=c(mid))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7611499,"eventually[1,7]globally(IL6(t) = c(high)) and eventually[1,7]globally(d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7282323,"globally[1,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7086555,"eventually[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6702569,"globally[0,7](IL6(t) > c(mid)) implies globally[7,∞](IL6(t) < c(low))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
