,input statement,STL-shot0-S0-F0,STL-shot0-S0-F1,STL-shot0-S0-F2,STL-shot0-S1-F0,STL-shot0-S1-F1,STL-shot0-S1-F2,STL-shot1-S0-F0,STL-shot1-S0-F1,STL-shot1-S0-F2,STL-shot1-S1-F0,STL-shot1-S1-F1,STL-shot1-S1-F2,STL-shot2-S0-F0,STL-shot2-S0-F1,STL-shot2-S0-F2,STL-shot2-S1-F0,STL-shot2-S1-F1,STL-shot2-S1-F2,STL-shot3-S0-F0,STL-shot3-S0-F1,STL-shot3-S0-F2,STL-shot3-S1-F0,STL-shot3-S1-F1,STL-shot3-S1-F2,STL-shot4-S0-F0,STL-shot4-S0-F1,STL-shot4-S0-F2,STL-shot4-S1-F0,STL-shot4-S1-F1,STL-shot4-S1-F2,STL-shot5-S0-F0,STL-shot5-S0-F1,STL-shot5-S0-F2,STL-shot5-S1-F0,STL-shot5-S1-F1,STL-shot5-S1-F2,STL-shot6-S0-F0,STL-shot6-S0-F1,STL-shot6-S0-F2,STL-shot6-S1-F0,STL-shot6-S1-F1,STL-shot6-S1-F2,STL-shot7-S0-F0,STL-shot7-S0-F1,STL-shot7-S0-F2,STL-shot7-S1-F0,STL-shot7-S1-F1,STL-shot7-S1-F2,STL-shot8-S0-F0,STL-shot8-S0-F1,STL-shot8-S0-F2,STL-shot8-S1-F0,STL-shot8-S1-F1,STL-shot8-S1-F2,STL-shot9-S0-F0,STL-shot9-S0-F1,STL-shot9-S0-F2,STL-shot9-S1-F0,STL-shot9-S1-F1,STL-shot9-S1-F2,STL-shot10-S0-F0,STL-shot10-S0-F1,STL-shot10-S0-F2,STL-shot10-S1-F0,STL-shot10-S1-F1,STL-shot10-S1-F2,STL-shot11-S0-F0,STL-shot11-S0-F1,STL-shot11-S0-F2,STL-shot11-S1-F0,STL-shot11-S1-F1,STL-shot11-S1-F2,STL-shot12-S0-F0,STL-shot12-S0-F1,STL-shot12-S0-F2,STL-shot12-S1-F0,STL-shot12-S1-F1,STL-shot12-S1-F2,STL-shot13-S0-F0,STL-shot13-S0-F1,STL-shot13-S0-F2,STL-shot13-S1-F0,STL-shot13-S1-F1,STL-shot13-S1-F2,STL-shot14-S0-F0,STL-shot14-S0-F1,STL-shot14-S0-F2,STL-shot14-S1-F0,STL-shot14-S1-F1,STL-shot14-S1-F2,STL-shot15-S0-F0,STL-shot15-S0-F1,STL-shot15-S0-F2,STL-shot15-S1-F0,STL-shot15-S1-F1,STL-shot15-S1-F2,STL-shot16-S0-F0,STL-shot16-S0-F1,STL-shot16-S0-F2,STL-shot16-S1-F0,STL-shot16-S1-F1,STL-shot16-S1-F2,STL-shot17-S0-F0,STL-shot17-S0-F1,STL-shot17-S0-F2,STL-shot17-S1-F0,STL-shot17-S1-F1,STL-shot17-S1-F2
0,"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).","eventually[0,2](SARSCoV2(t)=c(mid))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[0,2]globally(SARSCoV2(t)=c(mid))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[0,2]globally(d_SARSCoV2(t) = 0) and SARSCoV2(t) > c(mid)",,,"eventually[0,14]globally(IL1β(t) = c(mid))",,,"eventually[0,14]globally(SARSCoV2(t) = c(mid))",,,"eventually[0,2](SARSCoV2(t) > c(low))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[0,2]globally(SARSCoV2(t)=c(low))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,SARSCoV2(t) = c(low) implies IL6(t) < c(high),,,"eventually[0,2](SARSCoV2(t)=c(mid))",,,"eventually[0,2](SARSCoV2(t) > c(low) implies SARSCoV2(t) = c(low)) and SARSCoV2(t) = c(low)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[0,14]globally(SARSCoV2(t) = c(mid))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[0,2]globally(SARSCoV2(t)=c(low))",,"eventually[0,14](IL6(t) < c(mid))",,,"globally[0,14](SARSCoV2(t) > c(low))",,,"eventually[0,14]globally(SARSCoV2(t) > c(mid))",,,"SARSCoV2(t) > c(low) and SARSCoV2(t) < c(high) and IL1Ra(t) = c(mid) and eventually[0,2](IL1Ra(t) = c(mid)) implies globally[0,∞](d_IL1Ra(t) = 0)",,,"eventually[0,14]globally(SARSCoV2(t) = c(low) implies d_SARSCoV2(t)=d_c(low))",,,"eventually[0,2]globally(SARSCoV2(t)=c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[0,2]globally(d_SARSCoV2(t) > c(low))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,"globally[0,2](SARSCoV2(t) > c(low)) implies eventually[0,∞](IL6(t) = c(mid))",,,"eventually[0,2]globally(IL1Ra(t) > c(low))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[0,2](IL1β(t) = c(mid))",STL could not be parsed,STL could not be extracted,STL could not be extracted
1,This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,STL could not be extracted,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[17,19]globally(IL8(t) = c(mid)) and globally[17,19](IgM(t) < c(low)) and globally[17,19](IgG(t) > c(high)) and globally[17,19](IL8(t) = c(high))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be extracted,,,,"eventually[17,19]globally(IL8(t)=c(mid))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[17,19]globally(IL1β(t)=c(mid)) and globally[17,19](IgG(t) = c(high)) and globally[17,19](IgM(t) = c(low)) and globally[17,19](SARSCoV2(t)=c(mid)) and d_IgG(t) = 0 and d_IgM(t) = 0 and d_SARSCoV2(t) = 0",,,"eventually[17,19]globally(IL1Ra(t) > c(high))",,,STL could not be extracted,,,,,,"eventually[17,19]globally(IL1β(t) < c(low) implies IL1β(t)=c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"eventually[17,19]globally(IL1β(t) > c(high) and IgM(t) < c(low)) and d_IgG(t) = d_c(high)",STL could not be extracted,,
2,"Following day 10, IL-6 remains increased whereas IFN-α tapered.",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"globally[10,∞](IL6(t) > c(high)) and globally[10,∞](d_IFNα(t) < d_c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"globally[10,∞](IL6(t) > c(high) and d_IFNα(t) = d_c(low))",,,"eventually[10,∞]globally(IL6(t)=c(high)) and eventually[10,∞]globally(d_IFNα(t)=d_c(low))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,"globally[10,∞](IL6(t) > c(high)) and globally[10,∞](IFNα(t) < c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[10,∞](IL6(t)=c(high)) and d_IFNα(t) < d_c(high)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"eventually[10,∞]globally(IL6(t) > c(high)) and d_IFNα(t) < d_c(high)",STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[10,∞]globally(IL6(t) > c(high)) and d_IFNα(t)=d_c(low)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"eventually[10,∞]globally(IL6(t) > c(high)) and eventually[10,∞]globally(d_IFNα(t) < d_c(low))","eventually[10,∞]globally(IL6(t) > c(high)) and d_IFNα(t) < d_c(low)",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"globally[10,∞](IL6(t) > c(high)) and d_IFNα(t) < 0",,,"globally[10,∞](IL6(t) > c(high) and IFNα(t) < c(low))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[10,∞]globally(IL6(t) = c(high)) and eventually[10,∞](d_IL6(t) < d_c(high)) and eventually[10,∞]globally(IFNα(t) < c(low))",,,"eventually[10,∞]globally(IL6(t) > c(high) and d_IFNα(t) < d_c(high))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be extracted,,,,,,"eventually[10, ∞]globally(IL6(t) > c(high) and IFNα(t) < c(low))",,,"eventually[10,∞]globally(IL6(t) > c(mid)) and d_IFNα(t) < d_c(high)",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
3,"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel
i).",STL could not be parsed,STL could not be parsed,"globally[2,2](SARSCoV(t) > c(high)) and globally[2,2](d_SARSCoV(t) > d_c(high))","eventually[2,∞]globally(IL12(t) > c(high) and d_IL12(t)=d_c(low))",,,"eventually[0,2]globally(IL1Ra(t) > c(high) and IL1β(t) > c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,IL1Ra(t) > c(high) and IL1β(t) > c(high),,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[2,∞]globally(IL8(t) > c(high)) and d_MERSCoV(t) = d_c(high) and d_SARSCoV(t) = d_c(high)",,"globally[2,∞](IL12(t) > c(high) and IL8(t) > c(high))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[2,∞]globally(SARSCoV(t) > c(high) and MERSCoV(t) > c(high))",,,"eventually[2,∞]globally(SARSCoV2(t) < c(high) and MERSCoV(t) < c(high))",,,"eventually[2,3]globally(MERSCoV(t)=c(high) and SARSCoV(t)=c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[2,∞]globally(IL1Ra(t) > c(high) and SARSCoV(t) > c(high))",,,"globally[0,2](IL6(t) > c(high) and IL12(t) > c(high))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[2,2](d_IFNα(t)=d_c(high) and d_SARSCoV(t)=c(high)) and eventually[2,2](d_MERSCoV(t)=c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[2,∞](MERSCoV(t) > c(high) and SARSCoV(t) > c(high))",,"eventually[0,2]globally(IL8(t) > c(high) and IL12(t) > c(high))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[0,2](IL1β(t)=c(high))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[0,2]globally(IL6(t) > c(high) and IL12(t) > c(high))",,"eventually[2,∞]globally(IL1Ra(t) > c(high) and d_SARSCoV2(t)=0)",,,STL could not be parsed,"globally[0,2](MERSCoV(t) > c(high) and SARSCoV(t) > c(high))",,"eventually[0,2]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high))",,,STL could not be parsed,"globally[0,2](MERSCoV(t) > c(high) and SARSCoV(t) > c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted
4,"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",STL could not be parsed,STL could not be parsed,"eventually[0,∞](CpG2216(t) > c(high))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be extracted,,,,,,STL could not be parsed,d_CpG2216(t) < c(mid) and d_IFNα(t) < c(mid) and d_IFNβ(t) < c(mid),,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,"eventually[0,∞](d_CpG2216(t) < 0 and d_IFNβ(t) < 0)",,"eventually[0,∞](IFNα(t) < c(low)) and d_IFNα(t) < d_c(low)",,,"globally[0,∞](d_CpG2216(t) > 0 and d_IFNα(t) < 0)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[0,∞]globally(CpG2216(t) = c(low)) and d_CpG2216(t) < d_c(low) and eventually[0,∞]globally(IFNα(t) < c(low))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be extracted,,,,,"eventually[∞,∞]globally(d_CpG2216(t) < d_c(low) and IL6(t) < c(mid))",,,IFNα(t) < c(low),,,STL could not be extracted,,,,,,"eventually[0,∞]globally(d_CpG2216(t) < 0 and IL1β(t) < c(low))",,,"globally[0,∞](IFNα(t) < c(low))",,
5,Circulating IL-1α also was not detected (fig. S9F).,IL1α(t) < c(low),,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,IL1α(t) = c(low),IL1α(t) < c(low),,,STL could not be parsed,IL1α(t) < c(low),,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,IL1α(t) = c(low),,,IL1α(t) = c(low),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,IL1α(t) = c(low),IL1α(t) = c(low),,,STL could not be parsed,IL1α(t) < c(low),,"globally[∞,∞](IL1α(t) = c(low))",,,STL could not be parsed,STL could not be parsed,IL1α(t) < c(low),IL1α(t) < c(low),,,STL could not be parsed,IL1α(t) = c(low),,IL1α(t) = c(low),,,STL could not be parsed,IL1α(t) = c(low),,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,IL1α(t) = c(low),,IL1α(t) < c(low),,,STL could not be parsed,IL1α(t) = c(low),,IL1α(t) = c(low),,,STL could not be parsed,IL1α(t) < c(low),,IL1α(t) = c(low),,,STL could not be parsed,IL1α(t) = c(low),,IL1α(t) = c(low),,,STL could not be parsed,IL1α(t) = c(low),,STL could not be parsed,STL could not be extracted,STL could not be extracted,IL1α(t) = c(low),,,IL1α(t) < c(low),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
6,"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a rolefor the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,CCL2(t) > c(high) and CCR2(t) > c(low) and IL6(t) > c(low) and MCP1(t) > c(low) and RANTES(t) > c(low) and d_CCL2(t) > d_c(high) and d_CCR2(t) > d_c(low) and d_IL6(t) < d_c(low) and d_MCP1(t) < d_c(low) and d_RANTES(t) < d_c(low),,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be extracted,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,"CCL2(t) > c(low) and CCR2(t) > c(low) implies d_CCL2(t) > 0 and d_CCR2(t) > 0 and d_IL12(t) > 0 and d_IL8(t) > 0 and d_IL6(t) > 0 and d_IP10(t) > 0 and d_MCP1(t) > 0 and d_IFNγ(t) > 0 and d_IL17(t) > 0 and d_IL27(t) > 0 and d_RANTES(t) > 0 and eventually[5,12](d_SARSCoV2(t) > 0 and SARSCoV2(t) < c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[0,∞](CCL2(t) > c(mid)) and eventually[0,∞](CCR2(t) = c(low)) and eventually[0,∞](IL1α(t) < c(mid)) and eventually[0,∞](IL8(t) > c(mid)) and eventually[0,∞](IFNγ(t) < c(mid)) and eventually[0,∞](TNFα(t) = c(low)) and eventually[0,∞](RANTES(t) < c(mid)) and eventually[0,∞](IP10(t) = c(low)) and eventually[0,∞](MCP1(t) = c(low)) and eventually[0,∞](IFNβ(t) = c(low)) and eventually[0,∞](IL17(t) < c(mid)) and eventually[0,∞](IL27(t) < c(mid)) and eventually[0,∞](d_CCL2(t) > d_c(high)) and eventually[0,∞](d_CCR2(t) > d_c(high)) and eventually[0,∞](d_IL1α(t) > d_c(high)) and eventually[0,∞](d_IL8(t) > d_c(high)) and eventually[0,∞](d_IFNγ(t) > d_c(high)) and eventually[0,∞](d_TNFα(t) > d_c(high)) and eventually[0,∞](d_RANTES(t) > d_c(high)) and eventually[0,∞](d_IP10(t) > d_c(high)) and eventually[0,∞](d_MCP1(t) > d_c(high)) and eventually[0,∞](d_IFNβ(t) > d_c(high)) and eventually[0,∞](d_IL17(t) > d_c(high)) and eventually[0,∞](d_IL27(t) > d_c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,CCL2(t) > c(low) and CCR2(t) > c(low) and IL12(t) < c(low) and d_CCL2(t) = d_c(low) and d_CCR2(t) = d_c(low) and IL6(t) < c(mid) and d_IL6(t) < d_c(low) and d_TNFα(t) > 0 and d_IL12(t) = 0,,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be extracted,,,,,,STL could not be extracted,,,,,,STL could not be extracted,,,,,,CCL2(t) > c(high) and CCR2(t) < c(low) and IL12(t) < c(mid) and d_CCL2(t) > 0 and d_CCR2(t) < 0 and IL6(t) < c(low) and d_IL6(t) < 0 and d_CCL2(t) < 0 and d_CCR2(t) < 0,,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[0,∞](CCL2(t)=c(high))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be extracted,,,
7,"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,"eventually[2,4](d_IP10(t) < d_c(high)) and IP10(t) = c(low)",,"IP10(t) < c(mid) and eventually[2,4]globally(IP10(t) = c(mid))",,,"eventually[2,4]globally(d_IP10(t) < 0) and globally[4,∞](d_IP10(t) = 0)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,"eventually[2,4]globally(d_IP10(t) < 0) and globally[4,∞](IP10(t) = c(low))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[2,4]globally(d_IP10(t) < 0) and eventually[4,∞]globally(d_IP10(t) = 0)",,"d_IP10(t) < d_c(low) and eventually[2,4]globally(IP10(t) = c(low))",,,STL could not be parsed,STL could not be parsed,"globally[2,4](IP10(t) = c(mid))","eventually[2,4](IP10(t) < c(mid)) and globally[4,∞](IP10(t) = c(mid))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[2,4](d_IP10(t) < 0) implies globally[2,4](IP10(t) = c(low)) and eventually[4,∞](IP10(t) = c(low))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,IP10(t) = c(mid) implies IP10(t) < c(mid) and IP10(t) = c(mid),,STL could not be parsed,STL could not be extracted,STL could not be extracted,"globally[2,4](IP10(t) < c(mid) and IP10(t) = c(low))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[2,4]globally(d_IP10(t) < d_c(high)) and IP10(t) = c(mid)",STL could not be parsed,STL could not be extracted,STL could not be extracted
8,"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",STL could not be extracted,,,,,,"globally[1,∞](IP10(t) > c(high)) implies eventually[1,∞](IP10(t) > c(high)) and globally[1,∞](IP10(t) > c(high)) implies eventually[1,∞](IP10(t) > c(high)) and globally[1,∞](IP10(t) > c(high)) implies eventually[1,∞](IP10(t) > c(high))",,,"globally[1,1](IP10(t) > c(low)) implies globally[1,1](IP10(t) > c(low))",,,"eventually[1,1]globally(IP10(t) > c(low)) and eventually[1,1]globally(IP10(t) > c(mid)) and eventually[1,1]globally(IP10(t) > c(high))",,,"eventually[1,∞]globally(IP10(t) > c(mid))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[1,∞]globally(IP10(t) > c(low))",STL could not be parsed,STL could not be extracted,STL could not be extracted,"IP10(t) > c(high) and globally[1,1](IP10(t) > c(high)) and IP10(t) > c(high) and IP10(t) > c(high)",,,STL could not be extracted,,,STL could not be extracted,,,,,,"IP10(t) > c(high) and eventually[1,7]globally(IP10(t) > c(high)) and IP10(t) > c(high) and IP10(t) > c(high)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be extracted,,,,,,"globally[1,7](IP10(t) > c(low) implies IP10(t) = c(low))",,,IP10(t) > c(high) and IL6(t) > c(high) implies d_IP10(t) > d_c(high),,,STL could not be parsed,STL could not be parsed,IP10(t) > c(mid) and IP10(t) > c(low),"d_IP10(t) > d_c(high) and eventually[1,∞]globally(IP10(t)=c(high))",,,STL could not be extracted,,,,,,STL could not be extracted,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"IP10(t) > c(high) and globally[1,∞](IP10(t) > c(high) implies IP10(t) > c(high)) and eventually[1,∞]globally(IP10(t) > c(high) implies IP10(t) > c(high)) and IP10(t) > c(high) and IP10(t) > c(high)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"IP10(t) > c(mid) and IP10(t) > c(high) and globally[1,1](IP10(t) > c(mid)) and globally[1,1](IP10(t) > c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be extracted,,,,,,STL could not be parsed,IP10(t) > c(high),,STL could not be parsed,STL could not be extracted,STL could not be extracted
9,"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).",STL could not be extracted,,,,,,STL could not be parsed,"MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t) > c(high) implies d_MCP1(t)=d_c(high)) and eventually[3,4]globally(MCP1(t) = c(high) implies d_MCP1(t)=d_c(high))",,"eventually[1,2](MCP1(t) > c(high)) and eventually[3,4](MCP1(t) > c(high)) and globally[1,2](MCP1(t) < c(high)) and globally[3,4](MCP1(t) < c(high)) and d_MCP1(t) > d_c(low) and d_MCP1(t) < d_c(high)",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[1,2](MCP1(t) > c(high)) and eventually[3,4](MCP1(t) < c(high))","globally[1,2](MCP1(t) > c(low)) implies globally[3,4](MCP1(t) < c(high))",,,"MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) > c(high)) and eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) > c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[1,2](MCP1(t) > c(high)) and eventually[3,4](MCP1(t) > c(high)) and eventually[1,2](MCP1(t) < c(high)) and eventually[3,4](MCP1(t) < c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be extracted,,,,,,STL could not be extracted,,,,,,STL could not be parsed,"globally[1,2](MCP1(t) > c(low)) and globally[3,4](MCP1(t) < c(low))",,"globally[1,2](MCP1(t) > c(low)) and globally[3,4](MCP1(t) < c(low))",,,STL could not be parsed,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high)) and globally[1,2](MCP1(t) > c(high)) and globally[3,4](MCP1(t) = c(high))",,STL could not be extracted,,,"eventually[1,2]globally(MCP1(t) > c(mid)) and eventually[3,4]globally(MCP1(t) > c(high)) and eventually[1,2]globally(MCP1(t) < c(low)) and eventually[3,4]globally(MCP1(t) < c(high)) and eventually[1,2]globally(MCP1(t) > c(mid)) and eventually[3,4]globally(MCP1(t) > c(high)) and eventually[1,2]globally(MCP1(t) < c(low))",,,"eventually[1,2](MCP1(t) > c(high)) and eventually[3,4](MCP1(t) < c(high)) and globally[1,2](MCP1(t) > c(high)) and globally[3,4](MCP1(t) < c(high))",,,"MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t)=c(high) implies MCP1(t)=c(high)) and MCP1(t) > c(high) and eventually[3,4]globally(MCP1(t)=c(high) implies MCP1(t)=c(high)) and MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t)=c(high) implies MCP1(t)=c(high))",,,"eventually[1,2](MCP1(t) > c(mid)) implies eventually[3,4](MCP1(t) < c(mid)) and eventually[1,2](MCP1(t) > c(low)) implies eventually[3,4](MCP1(t) < c(low))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"globally[1,2](MCP1(t) > c(high)) and globally[3,4](MCP1(t) < c(high)) and eventually[1,2](MCP1(t) > c(high)) and eventually[3,4](MCP1(t) < c(high))",,,"globally[1,2](MCP1(t)=c(high) implies d_MCP1(t) > d_c(high)) and globally[3,4](MCP1(t)=c(high) implies d_MCP1(t) < d_c(high)) and globally[1,2](MCP1(t)=c(mid) implies d_MCP1(t) > d_c(low)) and globally[3,4](MCP1(t)=c(mid) implies d_MCP1(t) < d_c(low)) and globally[1,2](MCP1(t)=c(low) implies d_MCP1(t) > d_c(low)) and globally[3,4](MCP1(t)=c(low) implies d_MCP1(t) < d_c(low))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[1,2](MCP1(t) > c(low)) and eventually[3,4](MCP1(t) > c(low)) and globally[1,2](MCP1(t) < c(high)) and globally[3,4](MCP1(t) < c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"globally[1,2](MCP1(t) > c(high)) implies globally[3,4](MCP1(t) > c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
