Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,2](IFNα(t) > c(low)) implies eventually[0,2]globally(IL6(t) = c(low))",0.3788742,"eventually[0,24]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5121666,1,0,0
"eventually[0,inf]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5319214,"eventually[0,inf]globally(IFNα(t)=c(high) and IFNβ(t)=c(high)) and d_IFNα(t) > 0 and d_IFNβ(t) > 0",0.48874682,0,1,0
"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269768,"globally[0,2](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.50513446,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"globally[inf,inf](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and d_IFNβ(t) > 0",0.46158287,"eventually[0,inf](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL6(t) > c(low) and IL12(t) > c(low)",0.4477222,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,inf]globally(IL1β(t) > c(high)) implies eventually[0,inf](IL6(t) < c(high))",0.31705472,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) implies globally[0,inf](IFNα(t)=c(high) and IFNβ(t)=c(high))",0.49601823,1,0,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"globally[0,2](IFNα(t) > c(mid))",0.45618826,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) > c(mid) and IL1Ra(t) > c(mid)",0.50394505,1,0,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,2]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.52777016,N/A,N/A,0,1,0
"eventually[0,inf]globally(IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5456153,"eventually[0,inf]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5083088,0,1,0
"eventually[0,4](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.54929316,N/A,N/A,0,1,0
