Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
"eventually[0,3]globally(IL8(t) > c(low))",0.53635705,"eventually[0,3]globally(IL8(t) > c(low))",0.53635705,"eventually[0,3]globally(IL8(t) > c(low))",0.53635705,0
"globally[0,3](IL8(t) > c(high) and d_IL8(t) = d_c(high))",0.5629525,"globally[0,3](IL8(t) > c(high) and d_IL8(t) = d_c(high))",0.5629525,"globally[0,3](IL8(t) > c(high) and d_IL8(t) = d_c(high))",0.5629525,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,2](IL8(t) > c(low)) and eventually[3,4](IL8(t) > c(mid)) and eventually[5,6](IL8(t) > c(high))",0.6300752,"eventually[1,2](IL8(t) > c(low)) and eventually[3,4](IL8(t) > c(mid)) and eventually[5,6](IL8(t) > c(high))",0.6300752,"eventually[1,2](IL8(t) > c(low)) and eventually[3,4](IL8(t) > c(mid)) and eventually[5,6](IL8(t) > c(high))",0.6300752,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[15,∞]globally(IL8(t)=c(mid))",0.545714,"eventually[15,∞]globally(IL8(t)=c(mid))",0.545714,"eventually[15,∞]globally(IL8(t)=c(mid))",0.545714,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"IL8(t) > c(low) and eventually[0,3](IL8(t) > c(low))",0.583954,"IL8(t) > c(low) and eventually[0,3](IL8(t) > c(low))",0.583954,"IL8(t) > c(low) and eventually[0,3](IL8(t) > c(low))",0.583954,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
