Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[14,∞]globally(IL1Ra(t) < c(low) and SARSCoV2(t) < c(low))",0.70223373,"eventually[14,∞]globally(IL1Ra(t) < c(low) and SARSCoV2(t) < c(low))",0.70223373,"eventually[14,∞]globally(IL1Ra(t) < c(low) and SARSCoV2(t) < c(low))",0.70223373,0,0,2
"eventually[14,∞]globally(d_SARSCoV2(t)=0 and IL6(t)=c(low))",0.68282354,"eventually[14,∞]globally(d_SARSCoV2(t)=0 and IL6(t)=c(low))",0.68282354,"eventually[14,∞]globally(d_SARSCoV2(t)=0 and IL6(t)=c(low))",0.68282354,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[1,14]globally(SARSCoV2(t) < c(low)) and globally[1,14](IL6(t)=c(low) and IL1RN(t)=c(mid)) and globally[1,14](d_IL6(t)=0 and d_IL1RN(t) = d_c(low))",0.67905617,"eventually[1,14]globally(SARSCoV2(t) < c(low)) and globally[1,14](IL6(t)=c(low) and IL1RN(t)=c(mid)) and globally[1,14](d_IL6(t)=0 and d_IL1RN(t) = d_c(low))",0.67905617,"eventually[1,14]globally(SARSCoV2(t) < c(low)) and globally[1,14](IL6(t)=c(low) and IL1RN(t)=c(mid)) and globally[1,14](d_IL6(t)=0 and d_IL1RN(t) = d_c(low))",0.67905617,0,0,2
"globally[14,∞](d_SARSCoV2(t) = 0)",0.6079482,"globally[14,∞](d_SARSCoV2(t) = 0)",0.6079482,"globally[14,∞](d_SARSCoV2(t) = 0)",0.6079482,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[14,∞](d_SARSCoV2(t) < 0)",0.5722189,"globally[14,∞](d_SARSCoV2(t) < 0)",0.5722189,"globally[14,∞](d_SARSCoV2(t) < 0)",0.5722189,0,0,2
"eventually[14,∞](d_SARSCoV2(t) < 0) and globally[14,∞](IL6(t) = c(high) and IL1RN(t) = c(high))",0.67720324,"eventually[14,∞](d_SARSCoV2(t) < 0) and globally[14,∞](IL6(t) = c(high) and IL1RN(t) = c(high))",0.67720324,"eventually[14,∞](d_SARSCoV2(t) < 0) and globally[14,∞](IL6(t) = c(high) and IL1RN(t) = c(high))",0.67720324,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IL1RN(t) = c(mid),0.30606464,IL1RN(t) = c(mid),0.30606464,IL1RN(t) = c(mid),0.30606464,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[14,∞](SARSCoV2(t) = c(low)) implies globally[14,∞](IL6(t) = c(mid) and IL1RN(t) = c(mid))",0.6666968,"globally[14,∞](SARSCoV2(t) = c(low)) implies globally[14,∞](IL6(t) = c(mid) and IL1RN(t) = c(mid))",0.6666968,"globally[14,∞](SARSCoV2(t) = c(low)) implies globally[14,∞](IL6(t) = c(mid) and IL1RN(t) = c(mid))",0.6666968,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
