S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim
N/A,N/A,0.5393065,IL12(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5393065,"eventually[14,∞](IL12(t) > c(high))",,,N/A,N/A,0.5393065,"eventually[14,∞](IL12(t)=c(mid)) and IL12(t)=c(mid) and IL12(t)=c(mid)",N/A,N/A,0.5393065,"eventually[14,∞]globally(IL12(t)=c(high))",N/A,N/A,0.5393065,"eventually[14,∞]globally(IL12(t) > c(high))",0.5393065,"eventually[14,∞](IL12(t) > c(high)) and d_IL12(t) > d_c(high)",0.5393065,"eventually[14,∞]globally(IL12(t) = c(mid)) and eventually[14,∞](d_IL12(t) = d_c(high))",0.5393065,IL12(t) = c(high),0.5393065,"eventually[14,∞]globally(IL12(t) = c(mid)) and d_IL12(t) < d_c(low)",N/A,N/A,0.5393065,IL12(t) = c(mid)
0.5393065,"eventually[14,∞](IL12(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5393065,"eventually[14,∞](IL12(t)=c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5393065,"eventually[14,∞](IL12(t) = c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5393065,"eventually[14,∞](IL12(t) = c(high) and d_IL12(t) < d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5393065,IL12(t) = c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5393065,IL12(t) > c(high) and IL12(t) > c(low) and IL12(t) > c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5393065,"eventually[14,∞]globally(IL12(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,
0.5393065,IL12(t) = c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5393065,"eventually[14,∞](IL12(t)=c(mid)) and IL12(t)=c(mid) and IL12(t)=c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5393065,"eventually[14,∞]globally(IL12(t)=c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5393065,"eventually[14,∞]globally(IL12(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5393065,"eventually[14,∞](IL12(t) > c(high)) and d_IL12(t) > d_c(high)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5393065,"eventually[14,∞]globally(IL12(t) = c(mid)) and eventually[14,∞](d_IL12(t) = d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5393065,IL12(t) = c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5393065,"eventually[14,∞]globally(IL12(t) = c(mid)) and d_IL12(t) < d_c(low)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5393065,IL12(t) = c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,
