Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[10,inf](IL6(t) > c(high) and d_IFNα(t) < d_c(high))",0.832988,N/A,N/A,"eventually[10,inf]globally(IL6(t) > c(high)) and eventually[10,inf]globally(d_IFNα(t) < d_c(low))",0.8097074,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[10,inf]globally(IL6(t) > c(high) and d_IFNα(t) < d_c(high))",0.84007955,"globally[10,inf](IL6(t) > c(high)) and d_IFNα(t) < d_c(low)",0.82933795,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[10,inf](IL6(t) > c(high)) and eventually[10,inf](d_IFNα(t) < d_c(high))",0.8080445,N/A,N/A,"eventually[10,inf]globally(IL6(t) = c(high) and d_IFNα(t)=0)",0.83806413,1,1,0
"globally[10,inf](IL6(t) > c(high) and d_IFNα(t) = d_c(low))",0.8399483,N/A,N/A,"eventually[10,inf]globally(IL6(t) > c(high)) and d_IFNα(t) < d_c(low)",0.8331736,0,2,0
"eventually[10,inf](IL6(t) > c(high)) and d_IFNα(t) < d_c(high)",0.8454181,"globally[10,inf](IL6(t) > c(high)) and d_IFNα(t) < 0",0.84492654,N/A,N/A,0,2,0
"eventually[10,inf]globally(d_IL6(t) > d_c(high) and d_IFNα(t) < d_c(low))",0.8040799,N/A,N/A,N/A,N/A,0,2,0
"eventually[10,inf]globally(IL6(t) > c(high) and d_IFNα(t) < 0)",0.85411596,"eventually[10,inf](IL6(t) > c(high)) and d_IFNα(t) < 0 and d_IL6(t) > d_c(low)",0.8228679,N/A,N/A,0,2,0
"eventually[10,inf](IL6(t)=c(high)) and d_IFNα(t) < 0",0.8642018,"eventually[10,inf]globally(IL6(t) > c(high)) and eventually[10,inf]globally(d_IFNα(t) < d_c(high))",0.80902326,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[10,inf](IL6(t) > c(mid))",0.6353146,N/A,N/A,N/A,N/A,0,2,0
"globally[10,inf](IL6(t) > c(high)) and d_IFNα(t) < 0",0.84492654,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[10,inf](IL6(t) > c(high) and d_IFNα(t) < d_c(high))",0.832988,N/A,N/A,"eventually[10,inf](IL6(t) > c(high)) and eventually[10,inf](d_IFNα(t) < d_c(high))",0.821608,0,2,0
"eventually[10,inf](IL6(t) > c(low) and d_IFNα(t)=d_c(low))",0.84778756,"eventually[10, inf](IL6(t) > c(mid)) and IFNα(t) = c(low)",0.8404637,N/A,N/A,0,2,0
"eventually[10,inf](d_IL6(t) > d_c(high)) and eventually[10,inf](d_IFNα(t) < d_c(low))",0.8024252,"eventually[10,inf]globally(IL6(t) > c(high)) and eventually[10,inf](d_IFNα(t) < d_c(high))",0.81553024,N/A,N/A,1,1,0
