S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S18-F0,S18-F0 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.38764954,"CCL2(t) > c(low) and CCR2(t) > c(low) and IL1β(t) < c(low) and TNFα(t) < c(low) and d_CCL2(t) = d_c(high) and d_CCR2(t) = d_c(high) and d_IL1β(t) < d_c(high) and d_TNFα(t) < d_c(high) and eventually[6,18]globally(d_IFNβ(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.48089343,CCL2(t) = c(high) and CCR2(t) = c(low) and IL1β(t) = c(low) and TNFα(t) < c(low) and d_CCL2(t) = d_c(low) and d_CCR2(t) = d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.39284492,CCL2(t) > c(mid) and CCR2(t) > c(mid) and CCL2(t) = c(low) and CCR2(t) = c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38408324,"CCL2(t) > c(mid) and CCR2(t) > c(low) and IL6(t) > c(low) and eventually[0,inf]globally(CCL2(t) = c(mid) and CCR2(t) = c(low)) and globally[0,inf](IL6(t) = c(low))",,,,,0.41636202,"CCL2(t) > c(mid) and CCR2(t) > c(mid) implies IL1RN(t) < c(low) and eventually[0,inf](d_CCL2(t) > d_c(low) and d_CCR2(t) > d_c(low)) and eventually[0,inf](d_IL1RN(t) < d_c(low) and IL1β(t) > c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40039816,"CCL2(t) > c(high) and CCR2(t) > c(low) and IL12(t) = c(low) and RANTES(t) = c(mid) and d_CCL2(t) > 0 and d_CCR2(t) > 0 and d_IL12(t) < 0 and d_RANTES(t) < 0 and eventually[7,inf]globally(IL1Ra(t) < c(high)) and SARSCoV2(t)=c(low) implies d_IFNα(t) > 0",,,,,0.21076414,"eventually[0,inf]globally(d_CCL2(t)=d_c(high) and d_CCR2(t)=d_c(low)) and globally[0,inf](d_CCL2(t)=d_c(high) implies d_CCR2(t)=d_c(low)) and eventually[0,inf]globally(d_CCL2(t)=d_c(high) implies d_CCR2(t)=d_c(low)) and globally[0,inf](d_CCL2(t)=d_c(high) implies d_CCR2(t)=d_c(low))",,,,,0.3339983,"globally[0,inf](CCL2(t) > c(mid)) and globally[0,inf](CCR2(t) > c(mid)) implies eventually[0,inf](IL6(t) < c(low)) and eventually[0,inf](IL8(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
