Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1Ra(t) < c(high)) and eventually[15,∞]globally(IL1β(t) > c(low)) and eventually[15,∞]globally(IL1Ra(t) > c(low))",0.7124715,"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1Ra(t) < c(high)) and eventually[15,∞]globally(IL1β(t) > c(low)) and eventually[15,∞]globally(IL1Ra(t) > c(low))",0.7124715,"IL1β(t) > c(mid) and IL1Ra(t) > c(mid) and globally[1,7](d_IL1β(t) < d_c(high)) and globally[8,14](d_IL1β(t) = d_c(high)) and eventually[14,∞](IL1β(t) < c(mid)) and eventually[14,∞](IL1Ra(t) < c(mid))",0.73654354,1
"globally[1,7](IL1β(t) > c(low)) and globally[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low))",0.7200465,"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) > c(mid)) and eventually[15,∞](IL1β(t) < c(mid)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) > c(mid)) and eventually[15,∞](IL1Ra(t) < c(mid))",0.7502444,"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) > c(mid)) and eventually[15,∞](IL1β(t) < c(mid)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) > c(mid)) and eventually[15,∞](IL1Ra(t) < c(mid))",0.7502444,2
N/A,N/A,N/A,N/A,N/A,N/A,0
"IL1β(t) < c(mid) and d_IL1β(t) > d_c(low) and eventually[8,14](IL1β(t) > c(mid)) and IL1Ra(t) < c(mid) and d_IL1Ra(t) > d_c(low) and eventually[15,∞](IL1Ra(t) < c(mid))",0.72352886,"IL1β(t) < c(mid) and d_IL1β(t) > d_c(low) and eventually[8,14](IL1β(t) > c(mid)) and IL1Ra(t) < c(mid) and d_IL1Ra(t) > d_c(low) and eventually[15,∞](IL1Ra(t) < c(mid))",0.72352886,"IL1β(t) < c(mid) and d_IL1β(t) > d_c(low) and eventually[8,14](IL1β(t) > c(mid)) and IL1Ra(t) < c(mid) and d_IL1Ra(t) > d_c(low) and eventually[15,∞](IL1Ra(t) < c(mid))",0.72352886,0
"globally[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) = c(high)) and globally[15,∞](IL1Ra(t) < c(low))",0.7410099,"globally[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) = c(high)) and globally[15,∞](IL1Ra(t) < c(low))",0.7410099,"globally[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) = c(high)) and globally[15,∞](IL1Ra(t) < c(low))",0.7410099,0
"eventually[1,7](d_IL1β(t) > 0) and eventually[8,14](d_IL1Ra(t) > 0) and eventually[15,∞](d_IL1β(t) < 0) and eventually[15,∞](d_IL1Ra(t) < 0) and d_IL1β(t)=c(mid) and d_IL1Ra(t)=c(mid)",0.75164604,"eventually[1,7](d_IL1β(t) > 0) and eventually[8,14](d_IL1Ra(t) > 0) and eventually[15,∞](d_IL1β(t) < 0) and eventually[15,∞](d_IL1Ra(t) < 0) and d_IL1β(t)=c(mid) and d_IL1Ra(t)=c(mid)",0.75164604,"eventually[1,7](d_IL1β(t) > 0) and eventually[8,14](d_IL1Ra(t) > 0) and eventually[15,∞](d_IL1β(t) < 0) and eventually[15,∞](d_IL1Ra(t) < 0) and d_IL1β(t)=c(mid) and d_IL1Ra(t)=c(mid)",0.75164604,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) > c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",0.73992574,"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) > c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",0.73992574,"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) > c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",0.73992574,0
N/A,N/A,N/A,N/A,N/A,N/A,0
