Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"TNFα(t) > c(mid) and eventually[8,14]globally(TNFα(t) > c(mid)) and TNFα(t) < c(low)",0.900631,"TNFα(t) > c(mid) and eventually[8,14]globally(TNFα(t) > c(mid)) and TNFα(t) < c(low)",0.900631,"TNFα(t) > c(mid) and eventually[8,14]globally(TNFα(t) > c(mid)) and TNFα(t) < c(low)",0.900631,0,0,2
d_TNFα(t) > d_c(high) and d_TNFα(t) < d_c(low),0.6660039,d_TNFα(t) > d_c(high) and d_TNFα(t) < d_c(low),0.6660039,d_TNFα(t) > d_c(high) and d_TNFα(t) < d_c(low),0.6660039,0,0,2
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8710848,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8710848,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8710848,0,0,2
"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.8890588,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.8890588,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.8890588,0,0,2
"eventually[1,7]globally(TNFα(t) > c(high) and TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(high) and TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.89988935,"eventually[1,7]globally(TNFα(t) > c(high) and TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(high) and TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.89988935,"eventually[1,7]globally(TNFα(t) > c(high) and TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(high) and TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.89988935,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.893471,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.893471,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.893471,0,0,2
"eventually[1,7]globally(d_TNFα(t) > d_c(high)) and eventually[8,14]globally(d_TNFα(t) > d_c(high)) and eventually[15,∞]globally(d_TNFα(t) < d_c(high))",0.69504356,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.88849235,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.88849235,2,0,0
"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) = c(low))",0.85293764,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) = c(low))",0.85293764,"eventually[1,7](TNFα(t) > c(high)) and eventually[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(high))",0.86456716,1,0,1
"eventually[1,7]globally(TNFα(t) > c(high) implies d_TNFα(t)=0) and eventually[8,14]globally(TNFα(t) > c(high) implies d_TNFα(t)=0) and eventually[15,∞]globally(TNFα(t) < c(high) implies d_TNFα(t)=0)",0.78173125,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) = c(low))",0.85293764,"eventually[1,7](TNFα(t) > c(mid)) and eventually[8,14](TNFα(t) > c(mid)) and eventually[15,∞](TNFα(t) < c(high))",0.8868169,2,0,0
"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) implies eventually[15,∞]globally(TNFα(t) < c(high))",0.88272315,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) implies eventually[15,∞]globally(TNFα(t) < c(high))",0.88272315,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) implies eventually[15,∞]globally(TNFα(t) < c(high))",0.88272315,0,0,2
"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) = c(low))",0.85293764,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) = c(low))",0.85293764,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) = c(low))",0.85293764,0,0,2
"eventually[1,7](TNFα(t) > c(high)) and eventually[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.86711025,"eventually[1,7](TNFα(t) > c(high)) and eventually[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.86711025,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(mid))",0.88834536,1,0,1
