Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"IL8(t) > c(low) and eventually[0,3]globally(IL8(t) > c(low))",0.46267855,"IL8(t) > c(low) and eventually[0,3]globally(IL8(t) > c(low))",0.46267855,"IL8(t) > c(low) and eventually[0,3]globally(IL8(t) > c(low))",0.46267855,0,0,2
"eventually[0,3]globally(IL8(t) > c(high)) and d_IL8(t) = 0",0.46267855,"eventually[0,3]globally(IL8(t) > c(high)) and d_IL8(t) = 0",0.46267855,"eventually[0,3]globally(IL8(t) > c(high)) and d_IL8(t) = 0",0.46267855,0,0,2
"eventually[0,∞]globally(IL8(t) = c(low))",0.46267855,"eventually[0,∞]globally(IL8(t) = c(low))",0.46267855,"eventually[0,∞]globally(IL8(t) = c(low))",0.46267855,0,0,2
"eventually[15,∞]globally(IL8(t) > c(low))",0.46267855,"eventually[15,∞]globally(IL8(t) > c(low))",0.46267855,"eventually[15,∞]globally(IL8(t) > c(low))",0.46267855,0,0,2
"eventually[0,3]globally(IL8(t) > c(mid)) and globally[0,3](IL8(t) = c(mid))",0.46267855,"eventually[0,3]globally(IL8(t) > c(mid)) and globally[0,3](IL8(t) = c(mid))",0.46267855,"eventually[0,3]globally(IL8(t) > c(mid)) and globally[0,3](IL8(t) = c(mid))",0.46267855,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,3]globally(d_IL8(t) > c(low)) and eventually[3,6]globally(d_IL8(t) > c(low)) and eventually[6,9]globally(d_IL8(t) > c(low))",0.46267855,"eventually[0,3]globally(d_IL8(t) > c(low)) and eventually[3,6]globally(d_IL8(t) > c(low)) and eventually[6,9]globally(d_IL8(t) > c(low))",0.46267855,"eventually[0,3]globally(d_IL8(t) > c(low)) and eventually[3,6]globally(d_IL8(t) > c(low)) and eventually[6,9]globally(d_IL8(t) > c(low))",0.46267855,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(low)) and eventually[3,4]globally(IL8(t) > c(mid))",0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(low)) and eventually[3,4]globally(IL8(t) > c(mid))",0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(low)) and eventually[3,4]globally(IL8(t) > c(mid))",0.46267855,0,0,2
"eventually[0,3](IL8(t) > c(mid)) and globally[0,3](IL8(t) = c(low))",0.46267855,"eventually[0,3](IL8(t) > c(mid)) and globally[0,3](IL8(t) = c(low))",0.46267855,"eventually[0,3](IL8(t) > c(mid)) and globally[0,3](IL8(t) = c(low))",0.46267855,0,0,2
"eventually[0,∞]globally(IL8(t) > c(high)) and d_IL8(t) > 0",0.46267855,"eventually[0,∞]globally(IL8(t) > c(high)) and d_IL8(t) > 0",0.46267855,"eventually[0,∞]globally(IL8(t) > c(high)) and d_IL8(t) > 0",0.46267855,0,0,2
"eventually[0,∞]globally(IL8(t) > c(low)) and eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[0,∞]globally(IL8(t) > c(high))",0.46267855,"eventually[0,∞]globally(IL8(t) > c(low)) and eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[0,∞]globally(IL8(t) > c(high))",0.46267855,"eventually[0,∞]globally(IL8(t) > c(low)) and eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[0,∞]globally(IL8(t) > c(high))",0.46267855,0,0,2
"eventually[0,3]globally(IL8(t) > c(mid)) and eventually[3,6]globally(IL8(t) > c(mid)) and eventually[6,9]globally(IL8(t) > c(low))",0.46267855,"eventually[0,3]globally(IL8(t) > c(mid)) and eventually[3,6]globally(IL8(t) > c(mid)) and eventually[6,9]globally(IL8(t) > c(low))",0.46267855,"eventually[0,3]globally(IL8(t) > c(mid)) and eventually[3,6]globally(IL8(t) > c(mid)) and eventually[6,9]globally(IL8(t) > c(low))",0.46267855,0,0,2
"globally[0,3](IL8(t)=c(mid))",0.46267855,"globally[0,3](IL8(t)=c(mid))",0.46267855,"globally[0,3](IL8(t)=c(mid))",0.46267855,0,0,2
"eventually[0,3](IL8(t) = c(low)) and globally[0,∞](d_IL8(t) = d_c(low))",0.46267855,"eventually[0,3](IL8(t) = c(low)) and globally[0,∞](d_IL8(t) = d_c(low))",0.46267855,"eventually[0,3](IL8(t) = c(low)) and globally[0,∞](d_IL8(t) = d_c(low))",0.46267855,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,∞]globally(IL8(t) > c(mid)) and d_IL8(t)=0",0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid)) and d_IL8(t)=0",0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid)) and d_IL8(t)=0",0.46267855,0,0,2
