Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[1,7](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,inf](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.72471255,N/A,N/A,N/A,N/A,0,2,0
"IL1β(t) > c(low) and IL1Ra(t) > c(low) and globally[1,7](d_IL1β(t) < d_c(low)) and globally[8,14](d_IL1β(t) > d_c(high)) and globally[15,inf](d_IL1β(t) < d_c(high)) and IL1β(t) > c(mid) and IL1Ra(t) > c(low) and globally[1,7](d_IL1Ra(t) < d_c(low)) and globally[8,14](d_IL1Ra(t) > d_c(high)) and globally[15,inf](d_IL1Ra(t) < d_c(high))",0.6461984,N/A,N/A,N/A,N/A,0,2,0
"eventually[1,7](IL1β(t) > c(mid)) and eventually[8,14](IL1β(t) > c(high)) and eventually[15,inf](IL1β(t) < c(mid)) and eventually[1,7](IL1Ra(t) > c(mid)) and eventually[8,14](IL1Ra(t) > c(high)) and eventually[1,7](IL1Ra(t) < c(mid))",0.7548621,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > d_c(high)) and eventually[15,inf]globally(d_IL1β(t) < c(mid)) and d_IL1Ra(t) < c(mid)",0.75537205,N/A,N/A,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1β(t) = c(high)) and eventually[15,inf](IL1Ra(t) < c(low))",0.7335098,0,2,0
"eventually[1,7]globally(d_IL1β(t) > c(low)) implies eventually[8,14]globally(d_IL1Ra(t) > c(low)) and d_IL1Ra(t) < c(high) and eventually[15,inf]globally(d_IL1β(t) < c(low))",0.6928133,"IL1β(t) > c(mid) and IL1Ra(t) > c(mid) and d_IL1β(t) < 0 and d_IL1Ra(t) < 0 and eventually[8,14]globally(IL1β(t) = c(mid) and IL1Ra(t) = c(mid)) and IL1β(t) < c(mid) and IL1Ra(t) < c(mid) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0 and eventually[15,inf]globally(IL1β(t) < c(mid) and IL1Ra(t) < c(mid))",0.716636,N/A,N/A,1,1,0
"eventually[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) = c(high)) and eventually[14,inf](IL1β(t) > c(low))",0.7465791,N/A,N/A,"IL1β(t) > c(mid) and IL1Ra(t) > c(mid) and eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) = c(mid)) and eventually[15,inf](IL1β(t) < c(mid)) and IL1Ra(t) > c(mid) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) = c(mid)) and eventually[15,inf](IL1Ra(t) < c(mid))",0.7199873,0,2,0
"eventually[1,14](d_IL1β(t) > d_c(low)) and eventually[15,inf](d_IL1Ra(t) < d_c(high))",0.7074504,"eventually[1,7]globally(d_IL1β(t) > 0) and eventually[8,14]globally(d_IL1β(t) > 0) and eventually[15,inf]globally(d_IL1β(t) < 0) and eventually[1,7]globally(d_IL1Ra(t) > 0) and eventually[8,14]globally(d_IL1Ra(t) > 0) and eventually[15,inf]globally(d_IL1Ra(t) < 0)",0.6982025,"eventually[1,7]globally(IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,inf]globally(IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.71441287,1,1,0
"eventually[1,7](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](IL1β(t) > c(low) and IL1Ra(t) > c(low))",0.71751416,N/A,N/A,N/A,N/A,0,2,0
"globally[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and globally[15,inf](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7494674,"eventually[1,7](IL1β(t) < c(high) and IL1Ra(t) < c(high)) implies globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](IL1β(t) > c(low) and IL1Ra(t) > c(low))",0.70824945,N/A,N/A,0,2,0
