S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"globally[1,7](IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(high))",,,,,0.7253518,"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",,,,,0.7253518,"globally[1,7](IL6(t) > c(mid)) and d_IL6(t) < d_c(high)",,,,,0.7253518,"eventually[0,7](IL6(t) = c(high)) and eventually[7,∞](d_IL6(t) < d_c(high))",0.7253518,"globally[0,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(high))",0.7253518,"eventually[0,7]globally(IL6(t) = c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",0.7253518,"eventually[0,1](IL6(t)=c(high)) and eventually[1,∞](IL6(t) < c(high))",0.7253518,"eventually[0,7](IL6(t) > c(high) and d_IL6(t) < d_c(low)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,IL1β(t) < c(high) and d_IL1β(t) < d_c(high),0.7253518,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",0.7253518,"globally[0,7](IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(low)) and d_IL6(t) < 0",N/A,N/A,0.7253518,"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < 0)",0.7253518,"eventually[0,7]globally(IL6(t) = c(mid) and IL6(t) > c(low)) and eventually[7,∞]globally(IL6(t) < c(mid))",0.7253518,"eventually[1,7]globally(IL6(t) > c(high)) implies globally[1,∞](IL6(t) < c(high))",N/A,N/A,0.7253518,"globally[0,7](IL6(t) > c(high) and d_IL6(t) < 0)",0.7253518,"eventually[0,7]globally(IL6(t) = c(high)) and eventually[7,∞](d_IL6(t) < 0)",0.7253518,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(low))",0.7253518,"globally[0,7](IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(mid))",0.7253518,"eventually[1,7]globally(IL6(t) > c(high)) and eventually[8,∞]globally(IL6(t) < c(high))",0.7253518,"eventually[0,7]globally(IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(mid))",0.7253518,"eventually[0,∞]globally(IL6(t) > c(high)) and d_IL6(t) < -d_c(high)",0.7253518,"eventually[1,7]globally(IL6(t) = c(high)) implies globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A
0.7253518,"eventually[1,7](IL6(t) > c(high) and d_IL6(t) < d_c(high)) and eventually[7,∞](IL6(t) < c(mid))",,,,,0.7253518,"globally[0,7](IL6(t)=c(mid) implies d_IL6(t) < d_c(high)) and globally[7,∞](IL6(t) < c(mid))",,,,,0.7253518,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[0,7](d_IL6(t) > d_c(high) implies d_IL6(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"eventually[1,7]globally(IL6(t) > c(high) and d_IL6(t)=d_c(high)) and eventually[7,∞]globally(IL6(t) < c(high) and d_IL6(t)=d_c(high))",,,,,0.7253518,"globally[0,∞](IL6(t) > c(high) and d_IL6(t) < d_c(high))",,,,,0.7253518,"globally[1,7](IL6(t) > c(mid) and IL6(t) > c(low)) implies eventually[7,∞](IL6(t) < c(mid) and IL6(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"eventually[1,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"globally[0,7](IL6(t) < c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7253518,d_IL6(t) < 0 implies IL6(t) < c(mid) and IL6(t) < c(high),,,0.7253518,"eventually[0,7](IL6(t) > c(high)) and eventually[7,∞](d_IL6(t) < d_c(high))",,,,,0.7253518,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"eventually[0,7]globally(IL6(t) = c(mid) and d_IL6(t) = 0) and eventually[7,∞]globally(IL6(t) < c(mid) and d_IL6(t) < 0)",,,,,0.7253518,"eventually[0,7](IL6(t) < c(high)) and globally[7,∞](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",,,,,0.7253518,"IL6(t) > c(mid) and eventually[1,7]globally(IL6(t) < c(low)) and globally[7,∞](IL6(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"globally[0,7](IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(high))",,,,,0.7253518,"globally[1,∞](IL6(t)=c(mid)) and d_IL6(t)=0 implies IL6(t) < c(mid) and eventually[1,∞]globally(IL6(t) < c(mid))",,,,,0.7253518,"globally[0,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
