Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
d_IL12(t) = d_c(high) and IL12(t) > c(high),0.65031075,N/A,N/A,IL12(t) > c(high) and d_IL12(t) > 0,0.69625175,1,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,IL12(t) = c(high),0.7085985,"eventually[14,inf](d_IL12(t)=d_c(high))",0.6475626,0,2,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[14, inf](d_IL12(t) > d_c(high))",0.6448179,N/A,N/A,0,2,0
"IL12(t) > c(high) and eventually[14,inf]globally(d_IL12(t) > d_c(high))",0.6885539,"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"IL12(t) = c(high) and eventually[14,inf](IL12(t) = c(high))",0.7581042,2,0,0
"eventually[14,inf](IL12(t) = c(high)) and IL12(t) < c(mid)",0.78375876,IL12(t) > c(high),0.714465,"globally[14,inf](IL12(t) = c(mid))",0.7355144,0,2,0
"eventually[14,inf](IL12(t) = c(mid))",0.7513056,N/A,N/A,N/A,N/A,0,2,0
IL12(t) > c(high),0.714465,"eventually[14,inf](IL12(t) > c(mid))",0.78902733,N/A,N/A,1,1,0
"eventually[14,inf]globally(IL12(t) > c(high))",0.7672795,"eventually[14,inf](IL12(t) > c(high))",0.7756728,"eventually[14, inf](IL12(t) = c(mid))",0.7513056,1,1,0
"eventually[14, inf]globally(IL12(t) > c(high))",0.7672795,"eventually[14,inf](d_IL12(t) > 0)",0.66947067,"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,0,2,0
"eventually[14,inf]globally(IL12(t) > c(high))",0.7672795,N/A,N/A,"eventually[14,inf]globally(d_IL12(t) < 0)",0.6160041,0,2,0
"eventually[14,inf](IL12(t) > c(high))",0.7756728,"eventually[14,inf](IL12(t) = c(mid))",0.7513056,N/A,N/A,0,2,0
"eventually[14,inf](IL12(t)=c(high)) and IL12(t) < c(high) and eventually[14,inf](IL12(t)=c(high))",0.73129153,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) > d_c(high))",0.6994312,N/A,N/A,0,2,0
"eventually[14,inf](IL12(t) > c(mid))",0.78902733,N/A,N/A,N/A,N/A,0,2,0
"eventually[14,inf](IL12(t)=c(mid))",0.7513056,IL12(t) = c(high),0.7085985,d_IL12(t) > d_c(high),0.58587146,0,2,0
"eventually[14,inf]globally(d_IL12(t) > 0 and IL12(t) > c(mid))",0.756138,"eventually[14,inf](d_IL12(t) > 0) and IL12(t) > c(mid)",0.7505641,N/A,N/A,0,2,0
"eventually[14,inf](IL12(t) > c(high))",0.7756728,N/A,N/A,"eventually[14,inf]globally(IL12(t) > c(high))",0.7672795,0,2,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,N/A,N/A,"IL12(t) = c(high) and eventually[14,inf](IL12(t) = c(high))",0.7581042,0,2,0
"eventually[14,inf]globally(d_IL12(t) > d_c(low))",0.63308907,"eventually[14,inf](d_IL12(t) > d_c(high))",0.6448179,IL12(t) = c(mid),0.6954911,2,0,0
