S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.832988,"globally[10,inf](IL6(t) > c(high) and d_IFNα(t) < d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.8097074,"eventually[10,inf]globally(IL6(t) > c(high)) and eventually[10,inf]globally(d_IFNα(t) < d_c(low))",,,,,0.8642018,"eventually[10,inf](IL6(t)=c(high)) and d_IFNα(t) < 0",0.80902326,"eventually[10,inf]globally(IL6(t) > c(high)) and eventually[10,inf]globally(d_IFNα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6353146,"eventually[10,inf](IL6(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.84492654,"globally[10,inf](IL6(t) > c(high)) and d_IFNα(t) < 0",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.832988,"globally[10,inf](IL6(t) > c(high) and d_IFNα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.821608,"eventually[10,inf](IL6(t) > c(high)) and eventually[10,inf](d_IFNα(t) < d_c(high))",0.84778756,"eventually[10,inf](IL6(t) > c(low) and d_IFNα(t)=d_c(low))",0.8404637,"eventually[10, inf](IL6(t) > c(mid)) and IFNα(t) = c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8024252,"eventually[10,inf](d_IL6(t) > d_c(high)) and eventually[10,inf](d_IFNα(t) < d_c(low))",0.81553024,"eventually[10,inf]globally(IL6(t) > c(high)) and eventually[10,inf](d_IFNα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.84007955,"eventually[10,inf]globally(IL6(t) > c(high) and d_IFNα(t) < d_c(high))",,,,,0.82933795,"globally[10,inf](IL6(t) > c(high)) and d_IFNα(t) < d_c(low)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.8080445,"globally[10,inf](IL6(t) > c(high)) and eventually[10,inf](d_IFNα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.83806413,"eventually[10,inf]globally(IL6(t) = c(high) and d_IFNα(t)=0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8399483,"globally[10,inf](IL6(t) > c(high) and d_IFNα(t) = d_c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.8331736,"eventually[10,inf]globally(IL6(t) > c(high)) and d_IFNα(t) < d_c(low)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8454181,"eventually[10,inf](IL6(t) > c(high)) and d_IFNα(t) < d_c(high)",,,,,0.84492654,"globally[10,inf](IL6(t) > c(high)) and d_IFNα(t) < 0",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.8040799,"eventually[10,inf]globally(d_IL6(t) > d_c(high) and d_IFNα(t) < d_c(low))",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.85411596,"eventually[10,inf]globally(IL6(t) > c(high) and d_IFNα(t) < 0)",0.8228679,"eventually[10,inf](IL6(t) > c(high)) and d_IFNα(t) < 0 and d_IL6(t) > d_c(low)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
