Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IL1α(t) = c(low),0.6308896,N/A,N/A,N/A,N/A,0,2,0
IL1α(t) < c(low),0.674816,IL1α(t) = c(low),0.6308896,N/A,N/A,0,2,0
IL1α(t) < c(low),0.674816,N/A,N/A,IL1α(t) = c(low),0.6308896,0,2,0
IL1α(t) < c(low),0.674816,IL1α(t) = c(low),0.6308896,N/A,N/A,0,2,0
IL1α(t) < c(low),0.674816,N/A,N/A,IL1α(t) = c(low),0.6308896,0,2,0
IL1α(t) < c(low),0.674816,IL1α(t) = c(low),0.6308896,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IL1α(t) < c(low),0.674816,IL1α(t) = c(low),0.6308896,N/A,N/A,0,2,0
IL1α(t) = c(low),0.6308896,N/A,N/A,N/A,N/A,0,2,0
IL1α(t) < c(low),0.674816,N/A,N/A,N/A,N/A,0,2,0
IL1α(t) = c(low),0.6308896,N/A,N/A,IL1α(t) = c(low),0.6308896,0,1,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IL1α(t) = c(low),0.6308896,IL1α(t) = c(low),0.6308896,IL1α(t) = c(low),0.6308896,0,0,2
IL1α(t) = c(low),0.6308896,IL1α(t) < c(low),0.674816,IL1α(t) < c(low),0.674816,2,0,0
"globally[0,inf](IL1α(t)=c(low))",0.56895745,IL1α(t) = c(low),0.6308896,N/A,N/A,1,1,0
IL1α(t) < c(low),0.674816,N/A,N/A,N/A,N/A,0,2,0
IL1α(t) = c(low),0.6308896,N/A,N/A,N/A,N/A,0,2,0
