S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
0.5770308,"eventually[0,4]globally(IL1Ra(t) > c(high))",,,,,0.5717585,"eventually[0,28]globally(IL1Ra(t) > c(high))",,,,,0.5768326,"eventually[0,28]globally(IL1Ra(t) > c(high)) and globally[0,28](IL1Ra(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64421904,"IL1Ra(t) > c(high) and eventually[0,28](IL1Ra(t) > c(high))",,,,,0.59309256,"eventually[0,4](d_IL1Ra(t)=d_c(high)) and IL1Ra(t) > c(high)",,,,,0.6488192,"eventually[4,4](IL1Ra(t) > c(high) and IL1Ra(t) = c(high))",,,,,0.66015756,"IL1Ra(t) > c(mid) and IL1Ra(t) > c(high) and IL1Ra(t) > c(mid) and IL1Ra(t) > c(high) and eventually[0,4](IL1Ra(t) > c(high))",0.55167055,"globally[0,28](IL1Ra(t) > c(high))",0.61362684,"IL1Ra(t) > c(high) and globally[0,4](IL1Ra(t) = c(high))",0.6468607,"IL1Ra(t) = c(high) and eventually[0,4](IL1Ra(t) > c(high))",0.55167055,"globally[0,28](IL1Ra(t) > c(high))",0.63727766,"IL1Ra(t) > c(high) and eventually[0,28]globally(IL1Ra(t) = c(high))",N/A,N/A,N/A,N/A,0.5585215,"eventually[0,28]globally(IL1Ra(t)=c(high))",0.538893,"globally[0,28](IL1Ra(t) = c(high))",0.57183313,"eventually[0,inf]globally(IL1Ra(t) > c(mid))",0.538893,"globally[0,28](IL1Ra(t) = c(high))",0.5585215,"eventually[0,28]globally(IL1Ra(t) = c(high))",0.5674138,IL1Ra(t) = c(high),0.59884673,"eventually[0,4](IL1Ra(t) > c(high))",0.51108474,"eventually[0,28]globally(IL1Ra(t) > c(high)) implies globally[0,28](IL1Ra(t) = c(high))",0.55167055,"globally[0,28](IL1Ra(t) > c(high))",0.53933036,"globally[0,4](IL1Ra(t) = c(high)) and globally[0,inf](IL1Ra(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5579517,"globally[0,4](IL1Ra(t) > c(high))",0.62524796,"eventually[0,4](IL1Ra(t) > c(high)) and IL1Ra(t) > c(high)",0.5770308,"eventually[0,4]globally(IL1Ra(t) > c(high))",0.61276746,"IL1Ra(t) > c(high) and eventually[0,inf]globally(IL1Ra(t) > c(high))"
N/A,N/A,0.58223546,IL1Ra(t) > c(high),,,0.61414474,"IL1Ra(t) > c(high) and globally[0,28](IL1Ra(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64440584,"IL1Ra(t) = c(high) and eventually[0,28]globally(IL1Ra(t) > c(high))",,,,,0.5717585,"eventually[0,28]globally(IL1Ra(t) > c(high))",,,,,0.538893,"globally[0,28](IL1Ra(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5674138,IL1Ra(t) = c(high),,,0.5579517,"globally[0,4](IL1Ra(t) > c(high))",,,,,0.59060454,"eventually[0,28](IL1Ra(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5579517,"globally[0,4](IL1Ra(t) > c(high))",,,,,0.5579517,"globally[0,4](IL1Ra(t) > c(high))",,,,,0.5579517,"globally[0,4](IL1Ra(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59884673,"eventually[0,4](IL1Ra(t) > c(high))",,,,,0.5585215,"eventually[0,28]globally(IL1Ra(t) = c(high))",,,,,0.59884673,"eventually[0,4](IL1Ra(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.54664946,"globally[0,28](IL1Ra(t) > c(high)) and globally[0,28](IL1Ra(t) > c(high))",,,,,0.55167055,"globally[0,28](IL1Ra(t) > c(high))",,,,,0.5424976,"globally[0,inf](IL1Ra(t) > c(high)) and eventually[0,inf](IL1Ra(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55167055,"globally[0,28](IL1Ra(t) > c(high))",,,,,0.5585215,"eventually[0,28]globally(IL1Ra(t)=c(high))",,,,,0.5717585,"eventually[0,28]globally(IL1Ra(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66015756,"IL1Ra(t) > c(mid) and IL1Ra(t) > c(high) and IL1Ra(t) > c(mid) and IL1Ra(t) > c(high) and eventually[0,4](IL1Ra(t) > c(high))",,,,,0.55167055,"globally[0,28](IL1Ra(t) > c(high))",,,,,0.61362684,"IL1Ra(t) > c(high) and globally[0,4](IL1Ra(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6468607,"IL1Ra(t) = c(high) and eventually[0,4](IL1Ra(t) > c(high))",,,,,0.55167055,"globally[0,28](IL1Ra(t) > c(high))",,,,,0.63727766,"IL1Ra(t) > c(high) and eventually[0,28]globally(IL1Ra(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5585215,"eventually[0,28]globally(IL1Ra(t)=c(high))",,,,,0.538893,"globally[0,28](IL1Ra(t) = c(high))",,,,,0.57183313,"eventually[0,inf]globally(IL1Ra(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.538893,"globally[0,28](IL1Ra(t) = c(high))",,,,,0.5585215,"eventually[0,28]globally(IL1Ra(t) = c(high))",,,,,0.5674138,IL1Ra(t) = c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59884673,"eventually[0,4](IL1Ra(t) > c(high))",,,,,0.51108474,"eventually[0,28]globally(IL1Ra(t) > c(high)) implies globally[0,28](IL1Ra(t) = c(high))",,,,,0.55167055,"globally[0,28](IL1Ra(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.53933036,"globally[0,4](IL1Ra(t) = c(high)) and globally[0,inf](IL1Ra(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.5579517,"globally[0,4](IL1Ra(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.62524796,"eventually[0,4](IL1Ra(t) > c(high)) and IL1Ra(t) > c(high)",,,,,0.5770308,"eventually[0,4]globally(IL1Ra(t) > c(high))",,,,,0.61276746,"IL1Ra(t) > c(high) and eventually[0,inf]globally(IL1Ra(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
