S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S26-F0,S26-F0 sim
0.19429182,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) = c(high) and IFNβ(t) = c(high)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[0,2]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",,,,,0.19429182,"eventually[0,1]globally(IL1β(t)=c(high) and IL1Ra(t)=c(high)) implies eventually[0,1]globally(d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,IFNα(t) = c(low) and IFNβ(t) = c(low) and SARSCoV2(t) = c(mid) and d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"globally[0,1](IFNα(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,3]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid)) and eventually[0,3](d_IFNα(t) > 0 and d_IFNβ(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,1]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,IL1β(t) > c(high) and IL1Ra(t) > c(high) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and IL1β(t) = c(high) and IL1Ra(t) = c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞]globally(IFNα(t) > c(high) and IFNβ(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.19429182,"eventually[0,∞]globally(IL1β(t)=c(high) and IL1Ra(t)=c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) = c(mid) and IL1Ra(t) = c(mid)"
N/A,N/A,0.19429182,"eventually[0,∞]globally(IFNα(t) > c(high) and IFNβ(t) > c(high))",,,0.19429182,"d_IFNα(t) > 0 and d_IFNβ(t) > 0 and eventually[0,3](IFNα(t) = c(high) and IFNβ(t) = c(high))",,,,,0.19429182,IL1β(t)=c(high) and IFNβ(t)=c(high) and d_IL1β(t)=d_c(high) and d_IFNβ(t)=d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞]globally(IL1β(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,∞](d_IFNα(t) > d_c(low) and d_IFNβ(t) > d_c(low)) and IL1β(t) = c(mid) and SARSCoV2(t) = c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[0,1]globally(IFNα(t) > c(low) and IFNβ(t) > c(low))",,,,,0.19429182,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and TNFα(t) > c(low) and IL12(t) = c(mid)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.19429182,"eventually[0,3]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.19429182,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) > c(high) and IL1Ra(t) > c(high)",,,,,0.19429182,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[0,2](IFNα(t) > c(high) and IFNβ(t) > c(high)) and d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[0,3](IFNα(t) < c(high) and IFNβ(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"IFNα(t) > c(high) and IFNβ(t) > c(high) and globally[0,1](d_IFNα(t) > d_c(high)) and globally[0,1](d_IFNβ(t) > d_c(high))",,,,,0.19429182,"globally[0,3](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) > c(high) and IFNα(t) > c(high)",,,,,0.19429182,d_IFNα(t) > 0 and d_IFNβ(t) > 0 and IFNα(t) = c(high) and IFNβ(t) = c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
