S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S15-F0,S15-F0 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
0.7710938,IL1β(t) = c(low) and d_IL1β(t) < 0,,,,,0.75224257,IL1β(t) < c(low) and IL1β(t) = c(low) and d_IL1β(t) = 0,,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,0.6301348,"globally[inf,inf](IL1β(t) < c(low) and d_IL1β(t) = d_c(low))",0.61153436,"eventually[inf,inf]globally(IL1β(t) < c(low)) and d_IL1β(t) > 0",N/A,N/A,0.82748693,IL1β(t) = c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6139413,"globally[0,inf](IL1β(t) < c(low)) and eventually[0,inf](IL1β(t) = c(low)) and globally[0,inf](IL1β(t) < c(low)) and eventually[0,inf](IL1β(t) = c(low)) and globally[0,inf](IL1β(t) < c(low)) and eventually[0,inf](IL1β(t) = c(low))",0.67913747,"eventually[0,inf]globally(IL1β(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7517507,IL1β(t) < c(low) and d_IL1β(t) = d_c(low),0.6420497,"eventually[inf,inf]globally(IL1β(t) < c(low)) and d_IL1β(t) = 0 and d_IL1β(t) = 0",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8050745,IL1β(t) < c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7560103,IL1β(t) = c(low) and IL1β(t) < c(low) and d_IL1β(t) = 0,0.82748693,IL1β(t) = c(low),0.66875577,"IL1β(t) < c(low) and eventually[inf,inf]globally(d_IL1β(t) < d_c(low))"
N/A,N/A,0.73174125,"IL1β(t) = c(low) and eventually[0,inf]globally(d_IL1β(t)=0)",,,N/A,N/A,N/A,N/A,N/A,N/A,0.70344305,"IL1β(t) < c(low) and globally[inf,inf](IL1β(t) = c(low)) and d_IL1β(t) = 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.82748693,IL1β(t)=c(low),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61359155,"IL1β(t) < c(low) and globally[inf,inf](d_IL1β(t) > d_c(low) implies d_IL1β(t) < 0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.8050745,IL1β(t) < c(low),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.6638857,"globally[0,inf](IL1β(t) = c(low)) and d_IL1β(t) = d_c(low)",0.7635529,IL1β(t) = c(low) and IL1β(t) < c(high) and d_IL1β(t) = 0,,,,,0.6006001,"eventually[inf,inf](IL1β(t) = c(low)) and d_IL1β(t) = 0 and SARSCoV2(t) = c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
