,id,input statement,reference STL,reference literal,STL-0,STL-1,STL-2,STL-3,STL-4,STL-5,Literal-0,Literal-1,Literal-2,Literal-3,Literal-4,Literal-5
0,1,"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.","G[6,7] ( l(t) > c(high) ) ^ G[7,T] ( d_I(t) < 0 )","From day 6 to 7, the concentration of IL-6 was always greater than its high levels, and from day 7 onwards, the concentration of IL-6 was always decreasing. ",STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be extracted,STL could not be parsed,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,,Literal could not be generated
1,2,"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.","G[6,7] ( l(t) > l(T) ) ^ G[7,T] ( I(t) < c(high) )","From day 6 to 7, the concentration of IL-6 was always greater than its final level, and from day 7 onwards, the concentration of IL-6 was always less than its low levels.",STL could not be parsed,STL could not be parsed,STL could not be extracted,"G[0,7](IL6(t) > c(high)) ∧ F[7,∞](d_IL6(t) < d_c(high))","G[0,7](IL6(t) > c(high)) ∧ F[7,∞](d_IL6(t) < d_c(high))","G[0,7](IL6(t) > c(high)) ∧ F[7,∞](d_IL6(t) < d_c(high))",Literal could not be generated,Literal could not be generated,,"From day 0 to 7 il-6 was always above its high levels, and from day 7 onward the rate of change of il-6 was eventually increasing slower than a high rate.","From day 0 to 7 il-6 was always above its high levels, and from day 7 onward the rate of change of il-6 was eventually increasing slower than a high rate.","From day 0 to 7 il-6 was always above its high levels, and from day 7 onward the rate of change of il-6 was eventually increasing slower than a high rate."
2,3,"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.","G[6,7] ( l(t) > c(high) ) ^ F[7,T] G ( I(t) < c(low) )","From day 6 to 7, the concentration of IL-6 was always greater than its high levels, and eventually from day 7 onwards, the concentration of IL-6 was always less than its low levels.",STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated
3,4,"Remarkably, in the mild group, the amount of these cytokines (IL-1β and IL-1Ra) increased at the day 1–7, reached a peak at the day 8–14, and diminished after >14 days.","G[1,7] ( b(t) > b(T) ) ^ F[8,14] ( b(t) > c(high) ) ^ G[15,T] ( b(t) <= c(mid) )","From day 1 to 7, the concentration of IL-1β was always greater than its final level, and between day 8 and 14, the concentration of IL-1β was eventually greater than its high levels, and from day 15 onwards, the concentration of IL-1β was always less than or equal to its moderate levels.",STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated
4,5,"Remarkably, in the mild group, the amount of these cytokines (IL-1β and IL-1Ra) increased at the day 1–7, reached a peak at the day 8–14, and diminished after >14 days.","G[1,7] ( d_b(t) > 0 ^ d_r(t) > 0) ^ F[8, 14] ( b(t) > c(high) ^ r(t) > c(high) ) ^ F[15,T] ( b(t) < c(low) ^ r(t) < c(low) )","From day 1 to 7, the concentration of IL-1β was always increasing and the concentration of IL-Ra was always increasing, and between day 8 and 14, the concentration of IL-1β was eventually greater than its high levels and the concentration of IL-Ra was eventually greater than its high levels, and from day 15 onwards, the concentration of IL-1β was eventually less than its low levels and the concentration of IL-Ra was eventually less than its low levels.",STL could not be parsed,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,Literal could not be generated,,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated
5,6,"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.","G[1,7] ( a(t) > c(mid) ) ^ G[8,14] (a(t) > c(mid) ) ^ G[15,T] ( a(t) < c(mid) )","From day 1 to 7, the concentration of TNF-α was always greater than its moderate levels, and from day 8 to 14, the concentration of TNF-α was always greater than its moderate levels, and from day 15 onwards, the concentration of TNF-α was always less than its moderate levels.","F[0,7]G(TNFα(t) > c(high)) ^ F[14,∞]G(TNFα(t) < c(low))","F[0,7]G(TNFα(t) > c(high)) ^ F[14,∞]G(TNFα(t) < c(low))",STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,"From day 0 to 7 eventually tnf-α was always above its high levels, and from day 14 onward eventually tnf-α was always below its low levels.","From day 0 to 7 eventually tnf-α was always above its high levels, and from day 14 onward eventually tnf-α was always below its low levels.",Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated
6,7,"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.","G[1,14] ( a(t) < c(mid) ) ^ G[15, T] ( d_a(t) < 0 )","From day 1 to 14, the concentration of TNF-α was always less than its moderate levels, and from day 15 onwards, the concentration of TNF-α was always decreasing.",STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated
7,8,"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.","G[1,14] ( a(t) < c(mid) ) ^ F[15,T] ( a(t) < c(low) )","From day 1 to 14, the concentration of TNF-α was always less than its moderate levels, and from day 15 onwards, the concentration of TNF-α was eventually less than its low levels.",STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated
8,9,We detected that IL-8 was significantly elevated in all COVID-19 subgroups at three studied time intervals compared to the control group.,"G[1,7] ( I(t) > c(high) ) ^ G[8,14] ( l(t) > c(high) ) ^ G[15, T] ( l(t) > c(high) )","From day 1 to 7, the concentration of IL-8 was always greater than its high levels, and from day 8 to 14, the concentration of IL-8 was always greater than its high levels, and from day 15 onwards, the concentration of IL-8 was always greater than its high levels.",STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated
9,10,We detected that IL-8 was significantly elevated in all COVID-19 subgroups at three studied time intervals compared to the control group.,"G[0,T] ( l(t) > c(high) )","From day 0 onwards, the concentration of IL-8 was always greater than its high levels.",STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,STL could not be parsed,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated,Literal could not be generated
