Input Sentence,S0/1,S1/2,Total
,0.0,0.0,0.0
,0.008837581,0.0,0.008837581
,0.0,0.0,0.0
,0.0,0.0,0.0
,0,0,0
,0.0,-1.7378262,-1.7378262
,0,0,0
,0,0,0
,0.0,0.0,0.0
,0,0,0
,0.0,0.0,0.0
,0,0,0
,0.0,0.0,0.0
,0,0,0
,0.0007612705,0.0,0.0007612705
,0.0,0.0,0.0
,0,0,0
,0.0,-1.6829168,-1.6829168
,-1.2781606,1.2781606,0.0
,0,0,0
,0.074106276,0.0,0.074106276
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.00066924095,0.0,0.00066924095
,0.0,0.0,0.0
,0,0,0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0,0,0
,-1.8753417,1.8915982,0.01625657
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0026759505,-1.6960498,-1.6933739
,0.0,0.0,0.0
,-0.011097372,0.0,-0.011097372
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.004790902,0.0,0.004790902
,0.0,0.0,0.0
,0.0,-1.8888162,-1.8888162
,0,0,0
,0.0,0.0,0.0
,-1.5466754,0,-1.5466754
,-1.4981401,0,-1.4981401
,0,0,0
,0.016438305,0.061172605,0.07761091
,0,0,0
,0,0,0
,0.0,-1.4949759,-1.4949759
,-1.4949759,0,-1.4949759
,0,0,0
,-1.5360374,0,-1.5360374
,-1.4809616,0,-1.4809616
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0.0,0.0,0.0
,-0.00070136786,0.0,-0.00070136786
,-0.0055661798,0.0055661798,0.0
,0.0,0.0,0.0
,0,0,0
,0.0034332871,0.0,0.0034332871
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0.005629778,0.0,0.005629778
,-1.7264421,1.7264421,0.0
,0.0,-1.7282584,-1.7282584
,0.0,0.0,0.0
,0.0,0.0,0.0
,0,0,0
,-1.5424881,1.5007104,-0.04177773
,0,0,0
,0.112724185,0.039247632,0.15197182
,-0.011192799,0.0,-0.011192799
,0.0,0.0,0.0
,0.0,-0.057972014,-0.057972014
,0.0057677627,-0.0057677627,0.0
,0,0,0
,0,0,0
,0.0,-1.4917909,-1.4917909
,-1.5119032,1.5007104,-0.011192799
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
