Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high)) and IL6(t) < c(low)",0.4356554,"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high)) and IL6(t) < c(low)",0.4356553852558136,"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high)) and IL6(t) < c(low)",0.4356553852558136,"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high)) and IL6(t) < c(low)",0.4356553852558136,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",0.46919733,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",0.46919733,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",0.46919733,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",0.46919733,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",0.46919733,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",0.46919733,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",0.46919733,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,0
"eventually[0,∞]globally(IFNα(t)=c(high) and IFNβ(t)=c(high))",0.5456153,"eventually[0,∞]globally(IFNα(t)=c(high) and IFNβ(t)=c(high))",0.5456153154373169,"eventually[0,∞]globally(IFNα(t)=c(high) and IFNβ(t)=c(high))",0.5456153154373169,"eventually[0,∞]globally(IFNα(t)=c(high) and IFNβ(t)=c(high))",0.5456153154373169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,N/A,N/A,"eventually[0,∞]globally(IL1β(t) > c(high) and d_IL1Ra(t) > d_c(high))",0.3651116192340851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"eventually[0,12]globally(IL1β(t)=c(high) and IL1Ra(t)=c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",0.28925535,"eventually[0,12]globally(IL1β(t)=c(high) and IL1Ra(t)=c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",0.2892553508281708,"eventually[0,12]globally(IL1β(t)=c(high) and IL1Ra(t)=c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",0.2892553508281708,"eventually[0,12]globally(IL1β(t)=c(high) and IL1Ra(t)=c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",0.2892553508281708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) = c(low) and SARSCoV2(t) > c(high)",0.5616534,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) = c(low) and SARSCoV2(t) > c(high)",0.5616533756256104,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) = c(low) and SARSCoV2(t) > c(high)",0.5616533756256104,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) = c(low) and SARSCoV2(t) > c(high)",0.5616533756256104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,"eventually[0,2](IFNα(t) > c(high)) and SARSCoV2(t) < c(mid)",0.49535250663757324,"eventually[0,2](IFNα(t) > c(high)) and SARSCoV2(t) < c(mid)",0.49535250663757324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
