Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim,Semantic attempt 36,Semantic attempt 36 sim,Semantic attempt 37,Semantic attempt 37 sim,Semantic attempt 38,Semantic attempt 38 sim,Semantic attempt 39,Semantic attempt 39 sim,Semantic attempt 40,Semantic attempt 40 sim,Semantic attempt 41,Semantic attempt 41 sim,Semantic attempt 42,Semantic attempt 42 sim,Semantic attempt 43,Semantic attempt 43 sim,Semantic attempt 44,Semantic attempt 44 sim,Semantic attempt 45,Semantic attempt 45 sim,Semantic attempt 46,Semantic attempt 46 sim,Semantic attempt 47,Semantic attempt 47 sim,Semantic attempt 48,Semantic attempt 48 sim,Semantic attempt 49,Semantic attempt 49 sim,Semantic attempt 50,Semantic attempt 50 sim,Semantic attempt 51,Semantic attempt 51 sim,Semantic attempt 52,Semantic attempt 52 sim,Semantic attempt 53,Semantic attempt 53 sim,Semantic attempt 54,Semantic attempt 54 sim,Semantic attempt 55,Semantic attempt 55 sim,Semantic attempt 56,Semantic attempt 56 sim,Semantic attempt 57,Semantic attempt 57 sim,Semantic attempt 58,Semantic attempt 58 sim,Semantic attempt 59,Semantic attempt 59 sim,Semantic attempt 60,Semantic attempt 60 sim,Semantic attempt 61,Semantic attempt 61 sim,Semantic attempt 62,Semantic attempt 62 sim,Semantic attempt 63,Semantic attempt 63 sim,Semantic attempt 64,Semantic attempt 64 sim,Semantic attempt 65,Semantic attempt 65 sim,Semantic attempt 66,Semantic attempt 66 sim,Semantic attempt 67,Semantic attempt 67 sim,Semantic attempt 68,Semantic attempt 68 sim,Semantic attempt 69,Semantic attempt 69 sim,Semantic attempt 70,Semantic attempt 70 sim,Semantic attempt 71,Semantic attempt 71 sim,Number of improvements (relative to start)
"d_IL12(t) = d_c(low) and eventually[8,∞]globally(d_IL12(t) > d_c(high))",0.1594857,"d_IL12(t) = d_c(low) and eventually[8,∞]globally(d_IL12(t) > d_c(high))",0.15948569774627686,"d_IL12(t) = d_c(low) and eventually[8,∞]globally(d_IL12(t) > d_c(high))",0.15948569774627686,"d_IL12(t) = d_c(low) and eventually[8,∞]globally(d_IL12(t) > d_c(high))",0.15948569774627686,"globally[1,7](IFNβ(t)=c(low) implies IFNβ(t)=c(low)) and eventually[8,∞](d_IFNα(t) > d_c(high) and d_SARSCoV2(t) > d_c(low))",0.48674872517585754,"globally[1,7](IFNβ(t)=c(low) implies IFNβ(t)=c(low)) and eventually[8,∞](d_IFNα(t) > d_c(high) and d_SARSCoV2(t) > d_c(low))",0.48674872517585754,"globally[1,7](IFNβ(t)=c(low) implies IFNβ(t)=c(low)) and eventually[8,∞](d_IFNα(t) > d_c(high) and d_SARSCoV2(t) > d_c(low))",0.48674872517585754,"globally[1,7](IFNβ(t)=c(low) implies IFNβ(t)=c(low)) and eventually[8,∞](d_IFNα(t) > d_c(high) and d_SARSCoV2(t) > d_c(low))",0.48674872517585754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.4244266748428345,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.4244266748428345,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.4244266748428345,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.4244266748428345,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.4244266748428345,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.4244266748428345,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.4244266748428345,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.42442667,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.47523957,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,0.5737563,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,0.5737563,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,0.5737563,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,0.5737563,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,0.5737563,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,0.5737563,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,0.5737563,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.60807,0
"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.5289521,"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.5289521217346191,"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.5289521217346191,"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.5289521217346191,"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.5289521217346191,"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.5289521217346191,"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.5289521217346191,"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.5289521217346191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"globally[7, ∞](IFNα(t) > c(low)) and eventually[7, ∞](d_IFNβ(t) < d_c(high))",0.49845937,"globally[7, ∞](IFNα(t) > c(low)) and eventually[7, ∞](d_IFNβ(t) < d_c(high))",0.4984593689441681,"globally[7, ∞](IFNα(t) > c(low)) and eventually[7, ∞](d_IFNβ(t) < d_c(high))",0.4984593689441681,"globally[7, ∞](IFNα(t) > c(low)) and eventually[7, ∞](d_IFNβ(t) < d_c(high))",0.4984593689441681,"globally[1,∞](IFNβ(t) > c(low)) and eventually[7,∞](d_IFNα(t) < 0 and IFNβ(t) > c(high)) and IFNβ(t) < c(mid)",0.5601121187210083,"globally[1,∞](IFNβ(t) > c(low)) and eventually[7,∞](d_IFNα(t) < 0 and IFNβ(t) > c(high)) and IFNβ(t) < c(mid)",0.5601121187210083,"globally[1,∞](IFNβ(t) > c(low)) and eventually[7,∞](d_IFNα(t) < 0 and IFNβ(t) > c(high)) and IFNβ(t) < c(mid)",0.5601121187210083,"globally[1,∞](IFNβ(t) > c(low)) and eventually[7,∞](d_IFNα(t) < 0 and IFNβ(t) > c(high)) and IFNβ(t) < c(mid)",0.5601121187210083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,N/A,N/A,IFNβ(t) = c(low) implies IFNβ(t) < c(high),0.5243704319000244,IFNβ(t) = c(low) implies IFNβ(t) < c(high),0.5243704319000244,IFNβ(t) = c(low) implies IFNβ(t) < c(high),0.5243704319000244,IFNβ(t) = c(low) implies IFNβ(t) < c(high),0.5243704319000244,IFNβ(t) = c(low) implies IFNβ(t) < c(high),0.5243704319000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.5188973,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.518897294998169,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.518897294998169,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.518897294998169,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.518897294998169,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.518897294998169,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.518897294998169,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.518897294998169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
IL1β(t) < c(low) implies IFNα(t)=c(high),0.5289882,IL1β(t) < c(low) implies IFNα(t)=c(high),0.5289881825447083,IL1β(t) < c(low) implies IFNα(t)=c(high),0.5289881825447083,IL1β(t) < c(low) implies IFNα(t)=c(high),0.5289881825447083,"globally[14,∞](d_IFNβ(t) > c(low))",0.5625540018081665,"globally[14,∞](d_IFNβ(t) > c(low))",0.5625540018081665,"globally[14,∞](d_IFNβ(t) > c(low))",0.5625540018081665,"globally[14,∞](d_IFNβ(t) > c(low))",0.5625540018081665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
