S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S0-F4,S0-F4 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S1-F4,S1-F4 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S2-F4,S2-F4 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S4-F4,S4-F4 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S6-F4,S6-F4 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S11-F4,S11-F4 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S16-F3,S16-F3 sim,S16-F4,S16-F4 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S19-F4,S19-F4 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S22-F3,S22-F3 sim,S22-F4,S22-F4 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S23-F3,S23-F3 sim,S23-F4,S23-F4 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim,S26-F4,S26-F4 sim
0.70976186,"eventually[14,inf]globally(d_IL12(t)=0 and IL12(t)=c(high))",,,,,,,,,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,,,0.70976186,"eventually[14,inf]globally(d_IL12(t)=0 and IL12(t)=c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.69303966,"globally[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",,,,,,,0.7571626,"eventually[15,inf](IL12(t) = c(high))",,,,,,,,,0.6160041,"eventually[14,inf]globally(d_IL12(t) < 0)",,,,,,,,,0.7581854,"eventually[14,inf]globally(IL12(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6130331,"eventually[14,inf]globally(d_IL12(t) = 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",0.7255526,"eventually[0,14]globally(d_IL12(t) > 0) and eventually[14,inf](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7581854,"eventually[14,inf]globally(IL12(t)=c(high))",0.576421,"globally[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",0.5854547,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",0.59884334,"eventually[15,inf]globally(d_IL12(t)=0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7609356,"eventually[14,inf](IL12(t)=c(high))",0.7538753,"eventually[15,inf]globally(IL12(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.60479975,"eventually[15,inf](d_IL12(t) = 0)",0.69823366,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",0.60474336,"globally[14,inf](d_IL12(t) = 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,,,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7609356,"eventually[14,inf](IL12(t) = c(high))",,,,,,,,,0.5810446,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) < 0)",,,,,,,,,0.6999,"eventually[15,inf](IL12(t) = c(high) and d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7609356,"eventually[14,inf](IL12(t)=c(high))",,,,,,,,,0.7571626,"eventually[15,inf](IL12(t)=c(high))",,,,,,,,,0.6999,"eventually[15,inf](IL12(t)=c(high) and d_IL12(t)=0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7168082,"eventually[15,inf](d_IL12(t) = 0 and IL12(t) > c(mid))",,,,,,,,,0.750351,"globally[14,inf](IL12(t) = c(high))",,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t)=c(high))",,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5854547,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.77024525,"eventually[15,inf](IL12(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7756728,"eventually[14,inf](IL12(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6999,"eventually[15,inf](IL12(t) = c(high) and d_IL12(t) = 0)",,,,,,,,,0.72929394,"eventually[14,inf](d_IL12(t)=0) and IL12(t) > c(mid)",,,,,,,,,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6130331,"eventually[14,inf]globally(d_IL12(t)=0)",,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6130331,"eventually[14,inf]globally(d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
