Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[14,inf]globally(IL12(t)=c(high))",0.7581854,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.69823366,0,1,0
"eventually[15,inf](IL12(t) > c(high))",0.77024525,"globally[14,inf](d_IL12(t) = 0)",0.60474336,0,1,0
"eventually[14,inf](d_IL12(t) = 0)",0.61872715,N/A,N/A,0,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,0,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"globally[14,inf](IL12(t) = c(high))",0.750351,0,1,0
"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.69823366,N/A,N/A,0,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,N/A,N/A,0,1,0
"eventually[14,inf](d_IL12(t) = 0 and IL12(t) > c(high))",0.7163337,"globally[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.69303966,0,1,0
"eventually[15,inf]globally(IL12(t)=c(high))",0.7538753,N/A,N/A,0,1,0
"globally[14,inf](IL12(t) = c(high))",0.750351,N/A,N/A,0,1,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf]globally(d_IL12(t) = 0)",0.6130331,0,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[14,inf]globally(IL12(t)=c(high) and d_IL12(t)=0)",0.69630766,0,1,0
"eventually[15,inf]globally(IL12(t) = c(high))",0.7538753,"eventually[15,inf]globally(d_IL12(t) = 0)",0.59884334,0,1,0
"eventually[14,inf]globally(d_IL12(t)=0)",0.6130331,"eventually[14,inf](IL12(t) = c(high))",0.7609356,1,0,0
"eventually[15,inf](d_IL12(t)=0)",0.60479975,N/A,N/A,0,1,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"globally[14,inf](d_IL12(t) = 0) and eventually[14,inf](IL12(t) = c(high))",0.6899756,0,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[14,inf]globally(IL12(t) > c(high))",0.7672795,1,0,0
"eventually[15,inf](d_IL12(t) = 0)",0.60479975,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,1,0,0
