Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[15,inf]globally(IL12(t)=c(high))",0.7538753,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,N/A,N/A,0,1,0
"eventually[14,inf](d_IL12(t) = 0)",0.61872715,N/A,N/A,0,1,0
"eventually[14,inf](d_IL12(t) = 0)",0.61872715,N/A,N/A,0,1,0
"eventually[14,inf]globally(d_IL12(t)=0)",0.6130331,N/A,N/A,0,1,0
"eventually[15,inf](IL12(t) = c(high))",0.7571626,N/A,N/A,0,1,0
"eventually[0,14]globally(d_IL12(t) > 0) and IL12(t) = c(high) and d_IL12(t) = 0",0.67790586,N/A,N/A,0,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,N/A,N/A,0,1,0
"eventually[14,inf](d_IL12(t) = 0)",0.61872715,N/A,N/A,0,1,0
"eventually[15,inf]globally(IL12(t)=c(high))",0.7538753,N/A,N/A,0,1,0
"eventually[14,inf]globally(d_IL12(t)=d_c(low)) and IL12(t)=c(high)",0.6955508,N/A,N/A,0,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[15,inf](IL12(t) = c(high))",0.7571626,N/A,N/A,0,1,0
