Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.52616805,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and eventually[0,1](IFNα(t)=c(high) and IFNβ(t)=c(high))",0.52149767,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1]globally(d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5021812,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and globally[1,inf](IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.51524216,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and eventually[0,1](IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52773464,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) implies eventually[1,inf](IFNα(t)=c(high) and IFNβ(t)=c(high))",0.5028143,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
