Semantic attempt 0,Semantic attempt 0 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
CpG2216(t) > c(low) and IFNα(t) < c(mid),0.6855577,0,0,0
IFNα(t) > c(low) and IFNα(t) < c(high) and IFNβ(t) > c(low) and IFNβ(t) < c(high),0.41340274,0,0,0
N/A,N/A,0,0,0
IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,0,0,0
IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,0,0,0
"globally[0,inf](CpG2216(t) > c(low) implies IFNα(t) > c(low))",0.5437598,0,0,0
IFNα(t) > c(low) and IFNβ(t) > c(low),0.48232284,0,0,0
IFNα(t) > c(low) and IFNβ(t) > c(low),0.48232284,0,0,0
"globally[0,inf](IFNα(t) < c(low) and IFNβ(t) < c(low))",0.36259663,0,0,0
"globally[0,inf](IFNα(t) > c(low) and IFNα(t) < c(mid))",0.37585735,0,0,0
CpG2216(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.6515249,0,0,0
IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,0,0,0
IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,0,0,0
IFNα(t) > c(low) and IFNβ(t) > c(low),0.48232284,0,0,0
CpG2216(t) > c(low) and IFNβ(t) > c(low),0.6686776,0,0,0
CpG2216(t) > c(low) and IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.6396581,0,0,0
IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,0,0,0
IFNα(t) < c(mid) and IFNα(t) > c(low) and IFNβ(t) < c(mid) and IFNβ(t) > c(low),0.41199934,0,0,0
