Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[14,inf]globally(d_IL12(t)=0 and IL12(t)=c(high))",0.70976186,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf]globally(d_IL12(t)=0 and IL12(t)=c(high))",0.70976186,0,1,1
"globally[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.69303966,"eventually[15,inf](IL12(t) = c(high))",0.7571626,"eventually[14,inf]globally(d_IL12(t) < 0)",0.6160041,1,1,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,N/A,N/A,0,1,1
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) < 0)",0.5810446,"eventually[15,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.6999,0,2,0
"eventually[14,inf](IL12(t)=c(high))",0.7609356,"eventually[15,inf](IL12(t)=c(high))",0.7571626,"eventually[15,inf](IL12(t)=c(high) and d_IL12(t)=0)",0.6999,0,2,0
"eventually[15,inf](d_IL12(t) = 0 and IL12(t) > c(mid))",0.7168082,"globally[14,inf](IL12(t) = c(high))",0.750351,N/A,N/A,1,1,0
"eventually[14,inf]globally(IL12(t)=c(high))",0.7581854,N/A,N/A,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",0.5854547,0,2,0
"eventually[15,inf](IL12(t) > c(high))",0.77024525,N/A,N/A,"eventually[14,inf](IL12(t) > c(high))",0.7756728,1,1,0
"eventually[15,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.6999,"eventually[14,inf](d_IL12(t)=0) and IL12(t) > c(mid)",0.72929394,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,1,1,0
"eventually[14,inf]globally(d_IL12(t)=0)",0.6130331,N/A,N/A,"eventually[14,inf]globally(d_IL12(t) = 0)",0.6130331,0,1,1
"eventually[14,inf]globally(IL12(t)=c(high))",0.7581854,N/A,N/A,"eventually[14,inf]globally(d_IL12(t) = 0)",0.6130331,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[0,14]globally(d_IL12(t) > 0) and eventually[14,inf](IL12(t) = c(high))",0.7255526,N/A,N/A,1,1,0
"eventually[14,inf]globally(IL12(t)=c(high))",0.7581854,"globally[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",0.576421,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",0.5854547,0,2,0
"eventually[15,inf]globally(d_IL12(t)=0)",0.59884334,N/A,N/A,"eventually[14,inf](IL12(t)=c(high))",0.7609356,1,1,0
"eventually[15,inf]globally(IL12(t)=c(high))",0.7538753,N/A,N/A,"eventually[15,inf](d_IL12(t) = 0)",0.60479975,0,2,0
"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.69823366,N/A,N/A,N/A,N/A,0,2,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"globally[14,inf](d_IL12(t) = 0)",0.60474336,N/A,N/A,0,2,0
