S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
0.7458483,"globally[15,inf](IL12(t) = c(high))",,,0.750351,"globally[14,inf](IL12(t) = c(high))",,,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7571626,"eventually[15,inf](IL12(t)=c(high))",,,0.7571626,"eventually[15,inf](IL12(t)=c(high))",,,0.707428,"eventually[14,inf](IL12(t)=c(high) and d_IL12(t)=0)",,,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",0.6994145,"eventually[0,14](d_IL12(t)=d_c(high)) and globally[14,inf](IL12(t)=c(high))",0.69303966,"globally[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",0.6130331,"eventually[14,inf]globally(d_IL12(t) = 0)",0.61872715,"eventually[14,inf](d_IL12(t) = 0)",0.70976186,"eventually[14,inf]globally(d_IL12(t) = 0 and IL12(t) = c(high))",0.71083987,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](IL12(t) = c(high))",0.58334833,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf](d_IL12(t) = 0)",0.69823366,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.707428,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.5893821,"globally[15,inf](d_IL12(t) = 0)",0.7581854,"eventually[14,inf]globally(IL12(t)=c(high))",0.707428,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.68563807,"eventually[0,14](d_IL12(t) > d_c(low)) and eventually[14,inf](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",0.57710814,"globally[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) < 0)",0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",0.61872715,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf](d_IL12(t)=0)"
N/A,N/A,0.6197823,"eventually[14,inf](d_IL12(t) = 0 and d_IL12(t) > 0)",0.69823366,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",,,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.750351,"globally[14,inf](IL12(t) = c(high))",,,N/A,N/A,N/A,N/A,0.5854547,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6838343,"eventually[14,inf](d_IL12(t) < d_c(low) and IL12(t) = c(high))",,,N/A,N/A,N/A,N/A,0.6891297,"eventually[15,inf](d_IL12(t) = 0 and IL12(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7609356,"eventually[14,inf](IL12(t) = c(high))",,,0.59028757,"globally[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7672795,"eventually[14,inf]globally(IL12(t) > c(high))",0.5854547,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",,,0.707428,"eventually[14,inf](IL12(t)=c(high) and d_IL12(t)=0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7538753,"eventually[15,inf]globally(IL12(t)=c(high))",,,0.7609356,"eventually[14,inf](IL12(t) = c(high))",,,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60479975,"eventually[15,inf](d_IL12(t) = 0)",,,0.707428,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",,,0.7068704,"globally[0,14](d_IL12(t) > 0) and globally[14,inf](IL12(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,0.6994145,"eventually[0,14](d_IL12(t)=d_c(high)) and globally[14,inf](IL12(t)=c(high))",,,0.69303966,"globally[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,0.6130331,"eventually[14,inf]globally(d_IL12(t) = 0)",,,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.70976186,"eventually[14,inf]globally(d_IL12(t) = 0 and IL12(t) = c(high))",,,0.71083987,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](IL12(t) = c(high))",,,0.58334833,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,0.69823366,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",,,0.707428,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5893821,"globally[15,inf](d_IL12(t) = 0)",,,0.7581854,"eventually[14,inf]globally(IL12(t)=c(high))",,,0.707428,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68563807,"eventually[0,14](d_IL12(t) > d_c(low)) and eventually[14,inf](IL12(t) = c(high))",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,0.57710814,"globally[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) < 0)",,,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,0.61872715,"eventually[14,inf](d_IL12(t)=0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
