Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and globally[14,inf](d_TNFα(t) < 0)",0.8488805,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[15,inf](d_TNFα(t) < 0)",0.86355484,"globally[1,7](d_TNFα(t) > 0) and globally[8,14](d_TNFα(t) > 0) and globally[15,inf](d_TNFα(t) < 0)",0.7737404,1,1,0
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[15,inf](d_TNFα(t) < 0)",0.8690242,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[15,inf](d_TNFα(t) < 0)",0.8690242,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[14,inf](d_TNFα(t) < 0)",0.86769444,0,1,1
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[15,inf](d_TNFα(t) < 0)",0.86355484,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[14,inf](d_TNFα(t) < 0)",0.86769444,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,inf](d_TNFα(t) < 0)",0.8623674,1,1,0
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,inf](d_TNFα(t) < 0)",0.8623674,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[14,inf](d_TNFα(t) < 0)",0.86769444,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,inf](d_TNFα(t) < 0)",0.8623674,1,0,1
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[14,inf](d_TNFα(t) < 0)",0.86769444,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[14,inf](d_TNFα(t) < 0)",0.86769444,"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and eventually[15,inf](d_TNFα(t) < -d_c(low))",0.8087679,0,1,1
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[14,inf](d_TNFα(t) < 0)",0.86769444,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and globally[14,inf](d_TNFα(t) < 0)",0.8488805,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,inf](d_TNFα(t) < 0)",0.8623674,0,2,0
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[15,inf](d_TNFα(t) < 0)",0.86355484,"globally[1,14](TNFα(t) = c(high)) and globally[15,inf](d_TNFα(t) < 0)",0.84357,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[15,inf](d_TNFα(t) < 0)",0.8690242,1,1,0
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[15,inf](d_TNFα(t) < 0)",0.8690242,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[15,inf](d_TNFα(t) < 0)",0.86355484,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[14,inf](d_TNFα(t) < 0)",0.86769444,0,2,0
"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and globally[14,inf](d_TNFα(t) < 0)",0.8535186,"globally[1,14](TNFα(t) > c(mid)) and globally[15,inf](d_TNFα(t) < 0)",0.85896766,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[14,inf](d_TNFα(t) < 0)",0.86769444,2,0,0
"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and globally[15,inf](d_TNFα(t) < 0)",0.85090804,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[15,inf](d_TNFα(t) < 0)",0.8690242,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[15,inf](d_TNFα(t) < 0)",0.86355484,2,0,0
