S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim
0.52616805,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",,,,,0.501646,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and eventually[0,1](SARSCoV2(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.52616805,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",,,,,0.5254915,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.52149767,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.52305186,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.52149767,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.48920602,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) implies globally[1,inf](IFNα(t)=c(high) and IFNβ(t)=c(high))",N/A,N/A,N/A,N/A,0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.51401675,"globally[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.52149767,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A
0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",,,,,0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.53243494,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IFNα(t) > c(mid) and IFNβ(t) > c(mid))",,,,,0.52616805,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.52616805,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
