Sentence,Number of Times Semantic Feedback Portion Reached,Number of improving translations (relative to initial result) across all attempts,Number of worsening translations (relative to initial result) across all attempts,Number of consistent translations (relative to initial result) across all attempts
"From day 8 to 18 eventually at every point in that interval the rate of change of IL1RN was close to a fast, increasing rate.",0.0,0.0,0.0,0.0
From day 12 onward if IL-1β was above its low levels then eventually at every point in that interval the rate of change of IL1RN was decreasing.,0.0,0.0,0.0,0.0
From day 20 onward at every point in that interval SARS-CoV-2 was above its low levels.,0.0,0.0,0.0,0.0
If IL-1β was below its low levels then IL-6 was close to its low levels.,0.0,0.0,0.0,0.0
"If from day 8 to 10 eventually in that interval the rate of change of IFN-α was close to a fast, increasing rate, then from day 0 to 15 at every point in that interval IL-8 was below its moderate levels.",0.0,0.0,0.0,0.0
If IFN-β was close to its low levels then IL-6 was below its high levels.,0.0,0.0,0.0,0.0
"The rate of change of IL-1Ra was increasing and the rate of change of IL-1Ra was increasing slower than a low rate, and if TNF-α was close to its low levels then IL-6 was above its low levels.",0.0,0.0,0.0,0.0
From day 17 onward eventually at every point in that interval IL-1Ra was below its high levels.,0.0,0.0,0.0,0.0
If the rate of change of IFN-α was increasing then IL1RN was below its moderate levels.,0.0,0.0,0.0,0.0
From day 5 to 11 eventually at every point in that interval SARS-CoV-2 was below its moderate levels.,0.0,0.0,0.0,0.0
If the rate of change of IL-12 was increasing then IL-8 was close to its moderate levels.,0.0,0.0,0.0,0.0
From day 6 to 18 eventually at every point in that interval the rate of change of IL-6 was increasing.,0.0,0.0,0.0,0.0
"If from day 7 to 18 eventually at every point in that interval IL-1Ra was close to its moderate levels, then from day 3 onward at every point in that interval IL-6 was below its high levels.",0.0,0.0,0.0,0.0
From day 0 to 18 eventually at every point in that interval IL-6 was close to its high levels.,0.0,0.0,0.0,0.0
From day 9 to 12 at every point in that interval IFN-α was close to its low levels.,0.0,0.0,0.0,0.0
"If from day 3 to 12 eventually in that interval the rate of change of IL-12 was decreasing, then from day 2 to 16 eventually at every point in that interval IL-8 was below its high levels.",0.0,0.0,0.0,0.0
Overall,,0.0,0.0,0.0
