Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[0,14](SARSCoV2(t)=c(low)) and globally[0,14](IL6(t)>c(mid) and IL1RN(t)>c(mid))",0.7259536,N/A,N/A,0,1,0
"globally[0,14](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6868943,N/A,N/A,0,1,0
"globally[0,14](SARSCoV2(t) = c(low) and IL6(t) > c(mid))",0.6823391,N/A,N/A,0,1,0
"globally[14,inf](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6864191,N/A,N/A,0,1,0
"globally[0,14](SARSCoV2(t) = c(low) and IL6(t) > c(mid))",0.6823391,N/A,N/A,0,1,0
"globally[0,14](SARSCoV2(t) < c(low)) and eventually[0,14](IL6(t) > c(mid) and IL1RN(t) > c(mid))",0.7328874,N/A,N/A,0,1,0
"globally[0,14](SARSCoV2(t) = c(low) and IL6(t) > c(low))",0.67477614,N/A,N/A,0,1,0
"globally[0,14](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6868943,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,14](SARSCoV2(t) = c(low) and IL6(t) > c(low))",0.69108295,N/A,N/A,0,1,0
"globally[14,inf](SARSCoV2(t) < c(low) and IL6(t) > c(high))",0.680254,N/A,N/A,0,1,0
"globally[14,inf](SARSCoV2(t)=c(low)) and globally[14,inf](IL6(t)=c(high) and IL1RN(t)=c(high))",0.69141066,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"globally[0,14](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6868943,N/A,N/A,0,1,0
"globally[0,14](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6868943,N/A,N/A,0,1,0
"globally[0,14](SARSCoV2(t) < c(low)) and globally[0,14](IL6(t) > c(mid) and IL1RN(t) > c(mid))",0.7286707,N/A,N/A,0,1,0
"globally[14,inf](SARSCoV2(t) < c(low) and IL6(t) > c(low))",0.6812894,"globally[14,inf](SARSCoV2(t)=c(low)) and globally[14,inf](IL6(t)>c(mid) and IL1RN(t)>c(mid))",0.7164583,1,0,0
"globally[14,inf](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6864191,N/A,N/A,0,1,0
