Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[1,7](IFNβ(t) = IFNβ(1)) implies eventually[8,14](IFNβ(t) > c(high))",0.573631,N/A,N/A,0,1,0
"globally[1,7](IFNβ(t) = c(low)) and eventually[8,inf](IFNβ(t) > c(mid))",0.56239164,N/A,N/A,0,1,0
"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,inf]globally(IFNβ(t) > c(mid))",0.5752374,N/A,N/A,0,1,0
"globally[1,7](IFNβ(t)=c(low)) and globally[8,14](IFNβ(t) > c(mid)) and globally[15,inf](IFNβ(t) > c(mid))",0.58028954,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"globally[1,7](IFNβ(t) = c(low)) and globally[8,14](IFNβ(t) > c(mid))",0.588094,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14](IFNβ(t) > c(mid) and IFNβ(t) > IFNβ(1)) and eventually[15,inf](IFNβ(t) > c(mid) and IFNβ(t) > IFNβ(1))",0.6177362,N/A,N/A,0,1,0
"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,inf](IFNβ(t) > c(mid))",0.56768155,N/A,N/A,0,1,0
"globally[1,7](IFNβ(t) = IFNβ(1)) and globally[8,14](IFNβ(t) > c(mid)) and globally[15,inf](IFNβ(t) > c(mid))",0.6204724,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"globally[1,7](IFNβ(t) = c(mid)) and globally[8,inf](IFNβ(t) > c(mid) and IFNβ(t) > c(mid))",0.58922136,N/A,N/A,0,1,0
"globally[1,7](IFNβ(t) = c(low)) and eventually[8,14](IFNβ(t) > c(low)) and eventually[15,inf](IFNβ(t) > c(low))",0.5355344,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
