Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[15,inf](IL12(t) = c(high))",0.7458483,"globally[14,inf](IL12(t) = c(high))",0.750351,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,1,1,0
"eventually[15,inf](IL12(t)=c(high))",0.7571626,"eventually[15,inf](IL12(t)=c(high))",0.7571626,"eventually[14,inf](IL12(t)=c(high) and d_IL12(t)=0)",0.707428,0,1,1
"eventually[14,inf](d_IL12(t) = 0 and d_IL12(t) > 0)",0.6197823,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.69823366,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,1,1,0
"globally[14,inf](IL12(t) = c(high))",0.750351,N/A,N/A,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",0.5854547,0,2,0
"eventually[14,inf](d_IL12(t) < d_c(low) and IL12(t) = c(high))",0.6838343,N/A,N/A,"eventually[15,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.6891297,1,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"globally[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",0.59028757,N/A,N/A,0,2,0
"eventually[14,inf]globally(IL12(t) > c(high))",0.7672795,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",0.5854547,"eventually[14,inf](IL12(t)=c(high) and d_IL12(t)=0)",0.707428,0,2,0
"eventually[15,inf]globally(IL12(t)=c(high))",0.7538753,"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,1,1,0
"eventually[15,inf](d_IL12(t) = 0)",0.60479975,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.707428,"globally[0,14](d_IL12(t) > 0) and globally[14,inf](IL12(t) = c(high))",0.7068704,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[0,14](d_IL12(t)=d_c(high)) and globally[14,inf](IL12(t)=c(high))",0.6994145,"globally[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.69303966,0,2,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf]globally(d_IL12(t) = 0)",0.6130331,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,0,2,0
"eventually[14,inf]globally(d_IL12(t) = 0 and IL12(t) = c(high))",0.70976186,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](IL12(t) = c(high))",0.71083987,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",0.58334833,1,1,0
"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.69823366,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.707428,2,0,0
"globally[15,inf](d_IL12(t) = 0)",0.5893821,"eventually[14,inf]globally(IL12(t)=c(high))",0.7581854,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.707428,2,0,0
"eventually[0,14](d_IL12(t) > d_c(low)) and eventually[14,inf](IL12(t) = c(high))",0.68563807,N/A,N/A,N/A,N/A,0,2,0
"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"globally[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) < 0)",0.57710814,"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,1,1,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf](d_IL12(t)=0)",0.61872715,0,2,0
