Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7063292,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t)>d_c(low) and d_IL1Ra(t)>d_c(low)) and globally[8,14](IL1β(t)=c(high) and IL1Ra(t)=c(high)) and globally[15,inf](d_IL1β(t)<0 and d_IL1Ra(t)<0)",0.7063292,N/A,N/A,0,1,0
"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14](d_IL1β(t) = 0 and d_IL1Ra(t) = 0) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7088957,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t)>0 and d_IL1Ra(t)>0) and globally[8,14](IL1β(t)=c(high) and IL1Ra(t)=c(high)) and globally[15,inf](d_IL1β(t)<0 and d_IL1Ra(t)<0)",0.7164585,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7063292,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](d_IL1β(t) = 0 and d_IL1Ra(t) = 0) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.68519056,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7063292,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,N/A,N/A,0,1,0
"eventually[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",0.7090434,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,N/A,N/A,0,1,0
"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.734696,N/A,N/A,0,1,0
"eventually[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](d_IL1β(t) = 0 and d_IL1Ra(t) = 0) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.70374304,N/A,N/A,0,1,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](d_IL1β(t) = 0 and d_IL1Ra(t) = 0) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.68519056,N/A,N/A,0,1,0
