Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,7](IL6(t) > c(high)) and globally[7,inf](d_IL6(t) < 0)",0.74416304,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) > c(high)) and globally[7,inf](d_IL6(t) < 0)",0.72783923,0,2,0
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,0,2
"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,0,1,1
"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,1,0,1
"globally[0,7](IL6(t)=c(high)) and eventually[7,inf](d_IL6(t) < 0)",0.7403732,"globally[0,7](IL6(t) = c(high)) and eventually[7,inf](d_IL6(t) < 0)",0.7403732,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,1,1
"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,0,0,2
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,N/A,N/A,0,1,1
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and eventually[7,inf](d_IL6(t) < 0)",0.7403732,2,0,0
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,0,2
"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,N/A,N/A,0,1,1
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and eventually[7,inf](d_IL6(t) < 0)",0.7403732,2,0,0
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,0,2
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,0,0,2
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,1,0,1
"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7394666,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and eventually[7,inf](d_IL6(t) < 0)",0.7403732,1,0,1
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and eventually[0,inf]globally(d_IL6(t) < 0)",0.72941315,1,0,1
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,1,0,1
