Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
IL12(t)=c(low) and d_IL12(t)=d_c(low),0.62263113,IL12(t)=c(low) and d_IL12(t)=d_c(low),0.62263113,IL12(t)=c(low) and d_IL12(t)=d_c(low),0.62263113,0
IL12(t) = c(mid),0.69549096,IL12(t) = c(mid),0.69549096,IL12(t) = c(mid),0.69549096,0
"d_IL12(t)=c(high) implies IL1RN(t) < c(low) and eventually[7,∞](d_IFNα(t) < 0 and IL8(t) > c(high))",0.64848137,IL12(t) = c(high),0.70859855,"d_IL12(t) = c(high) and eventually[14, ∞](IL12(t) = c(high))",0.7581041,2
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[14,∞](d_IL12(t) = c(mid))",0.7355144,"globally[14,∞](d_IL12(t) = c(mid))",0.7355144,"globally[14,∞](d_IL12(t) = c(mid))",0.7355144,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"IL1RN(t) < c(low) and globally[1,14](IFNα(t)=c(mid) implies d_IFNα(t) > d_c(low))",0.4186917,"IL1RN(t) < c(low) and globally[1,14](IFNα(t)=c(mid) implies d_IFNα(t) > d_c(low))",0.4186917,"IL1RN(t) < c(low) and globally[1,14](IFNα(t)=c(mid) implies d_IFNα(t) > d_c(low))",0.4186917,0
IL12(t)=c(high),0.70859855,"globally[14,∞](d_IL12(t)=c(high))
",0.7503511,"globally[14,∞](d_IL12(t)=c(high))
",0.7503511,2
N/A,N/A,N/A,N/A,N/A,N/A,0
IL12(t) = c(high),0.70859855,IL12(t) = c(high),0.70859855,IL12(t) = c(high),0.70859855,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[14, ∞]globally(IL12(t) = c(high))",0.75818545,"eventually[14, ∞]globally(IL12(t) = c(high))",0.75818545,"eventually[14, ∞]globally(IL12(t) = c(high))",0.75818545,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"IFNα(t) < c(mid) and IFNβ(t) < c(mid) and globally[18,∞](d_IFNα(t)=0)",0.24425948,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.53792566,d_IL12(t) = c(high),0.70859855,2
