S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S13-F3,S13-F3 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim
0.1594857,"d_IL12(t) = d_c(low) and eventually[8,inf]globally(d_IL12(t) > d_c(high))",,,,,,,0.48674875,"globally[1,7](IFNβ(t)=c(low) implies IFNβ(t)=c(low)) and eventually[8,inf](d_IFNα(t) > d_c(high) and d_SARSCoV2(t) > d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.42442665,IFNα(t) > c(high) implies IL1Ra(t) < c(high),,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.47523952,"eventually[4,8]globally(d_IFNβ(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.43342957,"eventually[8,inf]globally(SARSCoV2(t) > c(mid) implies d_IFNα(t) > d_c(low))",0.5737564,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,0.6080701,"eventually[8,inf](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.43246555,IFNα(t) > c(mid) implies d_IL1Ra(t) > d_c(high),0.46584755,d_IFNβ(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.5289521,"globally[8,inf](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49845946,"globally[7, inf](IFNα(t) > c(low)) and eventually[7, inf](d_IFNβ(t) < d_c(high))",,,,,,,0.5601122,"globally[1,inf](IFNβ(t) > c(low)) and eventually[7,inf](d_IFNα(t) < 0 and IFNβ(t) > c(high)) and IFNβ(t) < c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.5243704,IFNβ(t) = c(low) implies IFNβ(t) < c(high),0.41559365,"eventually[8,inf]globally(IL1β(t) = c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5188974,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,inf](IL8(t)=c(mid))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5289881,IL1β(t) < c(low) implies IFNα(t)=c(high),,,,,,,0.5625541,"globally[14,inf](d_IFNβ(t) > c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.47523952,"eventually[4,8]globally(d_IFNβ(t) < 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43342957,"eventually[8,inf]globally(SARSCoV2(t) > c(mid) implies d_IFNα(t) > d_c(low))",,,,,,,0.5737564,IFNβ(t) = c(mid) and d_IL1Ra(t) < 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.6080701,"eventually[8,inf](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.43246555,IFNα(t) > c(mid) implies d_IL1Ra(t) > d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46584755,d_IFNβ(t) > d_c(low),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
