Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
d_IL8(t) = d_c(high) implies IL1β(t) < c(mid),0.6119703,d_IL8(t) = d_c(high) implies IL1β(t) < c(mid),0.6119703,d_IL8(t) = d_c(high) implies IL1β(t) < c(mid),0.6119703,0
IL8(t) > c(high),0.5479461,"globally[0,3](d_IL8(t) > c(high))",0.5693258,"globally[0,3](d_IL8(t) > c(high))",0.5693258,2
IL8(t) > c(high),0.5479461,IL8(t) > c(high),0.5479461,IL8(t) > c(high),0.5479461,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[3,∞](IL8(t) > c(high)) and d_IL8(t)=0 implies IL8(t)=c(high)",0.5592712,"globally[3,∞](IL8(t) > c(high)) and d_IL8(t)=0 implies IL8(t)=c(high)",0.5592712,"globally[3,∞](IL8(t) > c(high)) and d_IL8(t)=0 implies IL8(t)=c(high)",0.5592712,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[0,3]globally(d_IL8(t) > d_c(high))",0.4924449,IL8(t) > c(low) implies IL8(t)=c(low),0.5185344,IL8(t) > c(low) implies IL8(t)=c(low),0.5185344,2
IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.5887229,IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.5887229,IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.5887229,0
"globally[6,∞](d_IL8(t) > c(mid))",0.5934866,"globally[6,∞](d_IL8(t) > c(mid))",0.5934866,"globally[6,∞](d_IL8(t) > c(mid))",0.5934866,0
IL8(t) > c(high),0.5479461,IL8(t) > c(high),0.5479461,IL6(t) < c(low) and IL12(t) < c(low) and IL1β(t) < c(low) and IL1Ra(t) < c(low) and TNFα(t) < c(low) and IL8(t) > c(low) and IFNα(t) < c(low) and IFNβ(t) < c(low) and SARSCoV2(t) < c(low) and IL1RN(t) < c(low),0.6011077,1
"eventually[3,∞]globally(IL8(t) > c(high))",0.5667956,"eventually[3,∞]globally(IL8(t) > c(high))",0.5667956,"eventually[3,∞]globally(IL8(t) > c(high))",0.5667956,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[3,∞](IL8(t) > c(high))",0.56892985,"globally[3,∞](IL8(t) > c(high))",0.56892985,"globally[0,3](IL8(t) > c(high))",0.5693258,1
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,3](IL8(t) > c(low))",0.56693,"globally[1,3](IL8(t)=c(high))
",0.5725563,"globally[1,3](IL8(t)=c(high))
",0.5725563,2
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
