Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[1,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.478539,"globally[1,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.478539,"globally[1,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.478539,0,0,2
"eventually[0,1]globally(IL1Ra(t) < c(mid))",0.23448195,"eventually[0,1]globally(IL1Ra(t) < c(mid))",0.23448195,"eventually[0,1]globally(IL1Ra(t) < c(mid))",0.23448195,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IL6(t) > c(mid) implies IL1Ra(t)=c(high),0.17450291,"eventually[4,5]globally(d_IFNα(t)=d_c(low)) and eventually[12,15](SARSCoV2(t)=c(high))",0.5092609,"eventually[17,∞]globally(d_IFNα(t) > d_c(low))",0.5304544,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[0,14](d_IFNα(t)=d_c(low) and IL1Ra(t) > c(mid))",0.51348436,"globally[0,14](d_IFNα(t)=d_c(low) and IL1Ra(t) > c(mid))",0.51348436,"globally[0,14](d_IFNα(t)=d_c(low) and IL1Ra(t) > c(mid))",0.51348436,0,0,2
IL6(t)=c(high) implies IL12(t) > c(high),0.13802686,"eventually[1,2]globally(d_IL1Ra(t) > d_c(high)) implies globally[17,∞](IL1Ra(t)=c(high))",0.2268988,"eventually[1,2]globally(d_IL1Ra(t) > d_c(high)) implies globally[17,∞](IL1Ra(t)=c(high))",0.2268988,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[1,∞]globally(d_IL1β(t) < d_c(high))",0.36941594,"eventually[1,∞]globally(d_IL1β(t) < d_c(high))",0.36941594,"d_IFNα(t) = d_c(low) and eventually[0,1]globally(d_IFNβ(t) > c(low))",0.5333997,1,0,1
IL1Ra(t) > c(mid) and IL1β(t) > c(mid) and d_IL1Ra(t) < 0,0.22412023,IL1Ra(t) > c(mid) and IL1β(t) > c(mid) and d_IL1Ra(t) < 0,0.22412023,IL1Ra(t) > c(mid) and IL1β(t) > c(mid) and d_IL1Ra(t) < 0,0.22412023,0,0,2
IL6(t) < c(high) and IFNα(t) > c(low),0.4446361,IL6(t) < c(high) and IFNα(t) > c(low),0.4446361,IL6(t) < c(high) and IFNα(t) > c(low),0.4446361,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.48687932,"eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.48687932,"eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.48687932,0,0,2
"globally[1, ∞](d_IFNα(t)=c(mid)) implies eventually[0, ∞]globally(d_IFNβ(t)=c(mid))",0.42775947,"globally[1, ∞](d_IFNα(t)=c(mid)) implies eventually[0, ∞]globally(d_IFNβ(t)=c(mid))",0.42775947,"globally[1, ∞](d_IFNα(t)=c(mid)) implies eventually[0, ∞]globally(d_IFNβ(t)=c(mid))",0.42775947,0,0,2
"eventually[1,∞]globally(d_IFNα(t)=d_c(low) and d_IL8(t) < c(mid))",0.49974597,"eventually[1,∞]globally(d_IFNα(t)=d_c(low) and d_IL8(t) < c(mid))",0.49974597,"eventually[1,∞]globally(d_IFNα(t)=d_c(low) and d_IL8(t) < c(mid))",0.49974597,0,0,2
"globally[1,5](d_IFNα(t)=d_c(low) implies d_IFNα(t)=d_c(high))",0.44372237,"globally[1,5](d_IFNα(t)=d_c(low) implies d_IFNα(t)=d_c(high))",0.44372237,"globally[1,∞](d_IFNα(t) < d_c(high)) and globally[1,∞](d_IFNβ(t) = d_c(low))",0.50789547,1,0,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IL8(t)=c(low) implies IL1β(t) < c(low),0.24478887,IL8(t)=c(low) implies IL1β(t) < c(low),0.24478887,IL8(t)=c(low) implies IL1β(t) < c(low),0.24478887,0,0,2
"globally[1,5](d_IFNα(t) = d_c(low))",0.49784392,"globally[1,5](d_IFNα(t) = d_c(low))",0.49784392,"globally[1,5](d_IFNα(t) = d_c(low))",0.49784392,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[19,∞](IL12(t)=c(mid))",0.1372176,"globally[8,20](IFNβ(t) < c(mid)) implies globally[16,∞](d_IL6(t) < 0)",0.364195,"d_IFNα(t) > 0 and d_IFNβ(t) = 0 and eventually[1,∞]globally(d_IL6(t) < c(mid) and d_IL12(t) < c(mid)) and d_SARSCoV2(t) < 0",0.46536523,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[3,12](d_IFNα(t) < 0) implies eventually[2,16]globally(IL8(t) < c(high))",0.42544657,"eventually[3,12](d_IFNα(t) < 0) implies eventually[2,16]globally(IL8(t) < c(high))",0.42544657,"eventually[3,12](d_IFNα(t) < 0) implies eventually[2,16]globally(IL8(t) < c(high))",0.42544657,0,0,2
IL8(t)=c(low) implies IL1β(t) < c(low),0.24478887,IL8(t)=c(low) implies IL1β(t) < c(low),0.24478887,"globally[9,12](IFNα(t)=c(low))",0.44084305,1,0,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
