Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[18,inf](d_IFNβ(t)=d_c(high))",0.27389356,"globally[8,inf](IL1β(t) > c(high))",0.65962595,"eventually[14,inf]globally(IL1β(t) < c(low)) implies globally[3,inf](d_IL1β(t) < d_c(low))",0.61149096,2,0,0
d_IL1β(t) = c(mid),0.81270564,N/A,N/A,N/A,N/A,0,2,0
"globally[8,inf](SARSCoV2(t) > c(mid)) implies eventually[1,6](d_IL1β(t)=0)",0.54356706,N/A,N/A,N/A,N/A,0,2,0
d_IL1β(t) < c(low),0.8050745,IL1β(t) = c(low) and d_IL12(t) > c(low),0.7340803,"globally[1,inf](d_IL1β(t) = d_c(low))",0.6331841,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[15,inf](IL1β(t) < c(low))",0.6667087,N/A,N/A,"d_IL1Ra(t) < d_c(low) and eventually[11,17]globally(SARSCoV2(t)=c(high) implies IL1RN(t) > c(low))",0.46250486,0,2,0
d_IL1β(t) < c(mid),0.8082795,IL1β(t)=c(low),0.82748693,N/A,N/A,1,1,0
d_IL1β(t) > c(low),0.8157458,"IL1β(t) = c(low) and globally[0,inf](d_IL1β(t) = d_c(low))",0.70912814,"eventually[7,16](IL1β(t)=c(mid))",0.716599,0,2,0
"globally[7,inf](d_IL1β(t)=0) implies eventually[15,inf](IL8(t) < c(high))",0.62579215,"d_IL1β(t) = c(low) and eventually[3,19](IL1Ra(t) < c(low)) implies globally[11,inf](d_IFNα(t) > 0)",0.6360372,N/A,N/A,1,1,0
"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,inf](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.5673176,"globally[4,16](IL1RN(t)=c(mid)) implies eventually[0,18]globally(d_IL6(t) > 0)",0.3626774,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[4,8]globally(d_IFNβ(t) < 0) and d_IL8(t) > 0 and d_IL1β(t) > 0",0.5619633,IL6(t) < c(low) and IL1Ra(t)=c(low),0.48803008,IL6(t) < c(high) and IFNα(t) > c(low),0.50292426,0,2,0
"globally[inf,inf](d_IL1β(t) = c(low))",0.6862613,"eventually[5,inf](d_IL1β(t) < d_c(low)) and d_SARSCoV2(t) < c(high)",0.5501611,N/A,N/A,0,2,0
d_IL1β(t) < c(low),0.8050745,"globally[10,inf](IL1β(t) < c(low))",0.67401814,N/A,N/A,0,2,0
"d_IL1β(t) = c(low) and globally[1,inf](d_CpG2216(t) > d_c(low))",0.64427775,"IL1β(t) < c(low) and globally[inf,inf](d_IL1β(t) > d_c(low))",0.6601193,"globally[inf,inf](IL1β(t) < c(low)) and d_IL1β(t) > d_c(low) and IL1β(t) = c(mid)",0.6615983,2,0,0
IL1β(t)=c(low) implies d_SARSCoV2(t) > d_c(high),0.5617118,"globally[0, inf](IL1RN(t)=c(mid)) implies eventually[4,18]globally(d_IL6(t) > 0)",0.34124994,IL1β(t)=c(low) implies d_IL1β(t) < d_c(high),0.6742827,1,1,0
