Input Sentence,STL Extraction Success Rate,STL Parsing Success Rate,Number of Translations,Number of Syntactically Correct Translations,Semantic Passes,Semantic Success Rate
"From day 8 to 18 eventually at every point in that interval the rate of change of IL1RN was close to a fast, increasing rate.",0.6022727272727273,0.339622641509434,88,18.000000000000004,18,0.9999999999999998
From day 12 onward if IL-1β was above its low levels then eventually at every point in that interval the rate of change of IL1RN was decreasing.,0.7215189873417722,0.08771929824561409,79,5.0000000000000036,5,0.9999999999999993
From day 20 onward at every point in that interval SARS-CoV-2 was above its low levels.,0.9375,0.0,48,0.0,0,
If IL-1β was below its low levels then IL-6 was close to its low levels.,0.78125,0.06000000000000005,64,3.0000000000000027,1,0.33333333333333304
"If from day 8 to 10 eventually in that interval the rate of change of IFN-α was close to a fast, increasing rate, then from day 0 to 15 at every point in that interval IL-8 was below its moderate levels.",0.8679245283018868,0.021739130434782594,53,0.9999999999999994,0,0.0
If IFN-β was close to its low levels then IL-6 was below its high levels.,0.703125,0.0888888888888889,64,4.000000000000001,3,0.7499999999999999
"The rate of change of IL-1Ra was increasing and the rate of change of IL-1Ra was increasing slower than a low rate, and if TNF-α was close to its low levels then IL-6 was above its low levels.",0.7183098591549295,0.07843137254901966,71,4.000000000000003,1,0.24999999999999983
From day 17 onward eventually at every point in that interval IL-1Ra was below its high levels.,0.7777777777777778,0.0714285714285714,54,2.9999999999999987,3,1.0000000000000004
If the rate of change of IFN-α was increasing then IL1RN was below its moderate levels.,0.7692307692307692,0.06000000000000005,65,3.000000000000002,3,0.9999999999999992
From day 5 to 11 eventually at every point in that interval SARS-CoV-2 was below its moderate levels.,0.8947368421052632,0.019607843137254943,57,1.0000000000000022,0,0.0
If the rate of change of IL-12 was increasing then IL-8 was close to its moderate levels.,0.7636363636363637,0.04761904761904767,55,2.000000000000002,1,0.49999999999999944
From day 6 to 18 eventually at every point in that interval the rate of change of IL-6 was increasing.,0.6153846153846154,0.4642857142857143,91,26.000000000000004,26,0.9999999999999999
"If from day 7 to 18 eventually at every point in that interval IL-1Ra was close to its moderate levels, then from day 3 onward at every point in that interval IL-6 was below its high levels.",0.8490566037735849,0.022222222222222254,53,1.0000000000000013,1,0.9999999999999987
From day 0 to 18 eventually at every point in that interval IL-6 was close to its high levels.,0.6666666666666667,0.08333333333333337,54,3.0000000000000018,2,0.6666666666666663
From day 9 to 12 at every point in that interval IFN-α was close to its low levels.,0.7285714285714286,0.13725490196078427,70,6.999999999999998,5,0.7142857142857144
"If from day 3 to 12 eventually in that interval the rate of change of IL-12 was decreasing, then from day 2 to 16 eventually at every point in that interval IL-8 was below its high levels.",0.7704918032786885,0.08510638297872342,61,4.0,4,1.0
Overall,0.7468354430379747,0.11082138200782266,1027,84.99999999999997,73,0.858823529411765
