Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
"eventually[15,∞]globally(d_IL6(t) < d_c(low) and d_IL6(t) = d_c(low))",0.62119627,0
IL6(t)=c(high) implies d_IL6(t) > 0,0.6842437,0
IL6(t) < c(low) and IL6(t)=c(mid),0.70693374,0
"globally[1,7](IL1Ra(t) = c(mid))",0.54670936,0
"eventually[1,∞]globally(d_IL6(t)=d_c(low)) and d_IL6(t) < c(high)",0.7298002,0
"eventually[1,∞]globally(d_IL6(t) > c(high)) and eventually[1,∞]globally(d_IL6(t) < d_c(low))",0.69842374,0
"globally[1,∞](IL6(t) = c(high))",0.67044353,0
"eventually[14,∞]globally(d_IL12(t)=0) and d_IL8(t) > d_c(low) and IL8(t) > c(mid)",0.5645328,0
N/A,N/A,0
"globally[1,∞](d_IL6(t) > d_c(high))",0.6155622,0
"globally[1,7](IL6(t) < c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",0.7270809,0
"globally[6,∞](d_IL1β(t) < 0)",0.64359397,0
"globally[1,∞](IL6(t) < c(high))",0.68578744,0
"d_IL6(t) > c(high) and eventually[1,∞](d_IL6(t) < d_c(low))",0.70015585,0
"globally[0,∞](d_IL6(t) < c(low))",0.65421146,0
IL6(t) < c(high) and d_IL6(t) < d_c(high),0.6674204,0
IL1β(t) > c(high) and SARSCoV2(t) < c(low),0.5274661,0
"globally[19, ∞](IL6(t) = c(mid))",0.6618035,0
