S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
N/A,N/A,N/A,N/A,0.40846407,"globally[1,inf](IL1β(t) > c(high)) and SARSCoV2(t) < c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,0.2837572,"eventually[16,inf]globally(IL1RN(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.55005455,"eventually[6,9](IP10(t) > c(mid))",0.3376853,IL8(t)=c(mid) and IL12(t)=c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.47223413,"globally[1,7](IP10(t) < c(low)) and d_IP10(t)=d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.34754604,d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),N/A,N/A,N/A,N/A,N/A,N/A,0.327012,"globally[1,7](IL1Ra(t) < c(high))",0.32015806,IL12(t) < c(mid) implies d_IFNβ(t)=d_c(low),0.29976287,"globally[6,inf](IL1Ra(t)=c(high))",0.29560438,IL8(t) > c(high),N/A,N/A,0.3663041,IL1β(t) < c(low) implies IL6(t)=c(low),0.27717763,"eventually[1, inf]globally(SARSCoV2(t) < c(mid) implies d_IFNα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29785,"eventually[14,inf]globally(d_IL12(t)=0) and d_IL8(t) = c(low)",0.2813862,IL1Ra(t) < c(mid) implies IL1RN(t) < c(mid),0.41439232,"globally[7,11](TNFα(t) < c(mid))"
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.40280718,"globally[9,inf](IL1β(t) < c(low))",0.3294819,"globally[0,1](IL6(t) < c(high))
and
eventually[1,inf]globally(IL6(t) < c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29630208,IL1Ra(t) > c(mid),,,,,0.25808388,IL1Ra(t) < c(mid) and d_IL1Ra(t) > d_c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.38840616,"eventually[6,inf](IL8(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.3404336,"globally[1,inf](IL8(t) > c(low) and d_IL1β(t) < d_c(high))
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.4135317,"eventually[1,inf]globally(d_IP10(t)=0)",,,N/A,N/A,N/A,N/A,N/A,N/A,0.3348631,IL6(t) = c(high) implies IL12(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.33306032,"eventually[2,3]globally(d_IL8(t) > 0 and IL1Ra(t) > c(mid))",,,N/A,N/A,N/A,N/A,N/A,N/A,0.35824287,"eventually[1,inf]globally(d_IL1β(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
