shot0,shot0 sim,shot1,shot1 sim,shot2,shot2 sim,shot3,shot3 sim,shot4,shot4 sim,shot5,shot5 sim,shot6,shot6 sim,shot7,shot7 sim,shot8,shot8 sim,shot9,shot9 sim,shot10,shot10 sim,shot11,shot11 sim,shot12,shot12 sim,shot13,shot13 sim,shot14,shot14 sim,shot15,shot15 sim,shot16,shot16 sim,shot17,shot17 sim
"eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.29494238,d_SARSCoV2(t)=c(high) implies d_IL1Ra(t) < c(low) and d_TNFα(t) < d_c(high),0.52370536,,,,,,,"globally[0,7](IL1β(t)=c(mid)) implies eventually[0,7](d_IL1β(t)=0)",0.27823028,,,IL1β(t) > c(high),0.33388337,"eventually[8,12]globally(d_SARSCoV2(t) > c(mid))",0.5224846,"d_SARSCoV2(t)=0 and globally[0,7](d_SARSCoV2(t) < c(low)) implies eventually[28,∞](d_SARSCoV2(t) = d_c(low))",0.48267227,,,"globally[0, ∞](IL8(t) < c(low))",0.18275613,"globally[2,∞](d_IL1β(t) < d_c(high))",0.35810977,,,"eventually[1,2]globally(d_IL1Ra(t) > d_c(high)) implies globally[17,∞](IL1Ra(t)=c(high))",0.21318454,,,,,"globally[31,∞](SARSCoV2(t) = c(high))",0.4810987
"eventually[1,∞](IL8(t) < c(mid)) and IL1RN(t) > c(high)",0.32958174,"globally[17,19](IL1Ra(t)=c(low) implies d_IgG(t) > 0)",0.484994,,,"eventually[17,19](IL12(t) > c(low) and SARSCoV2(t) < c(low))",0.37855738,"eventually[17,19]globally(d_IL8(t)=0)",0.27450836,"d_IL1Ra(t) < d_c(low) and eventually[0,16]globally(SARSCoV2(t)=c(high) implies IL1RN(t) > c(low))",0.35036677,,,"globally[5,∞](IL1Ra(t) > c(mid) implies SARSCoV2(t)=c(high))",0.36111274,"eventually[17,∞]globally(SARSCoV2(t) > c(mid) implies d_SARSCoV2(t) = c(low))",0.34002864,,,"globally[17,19](d_IL1Ra(t) = d_c(high))",0.2866785,"eventually[17,19]globally(d_IL8(t)=c(low) and SARSCoV2(t)>c(mid))",0.3855766,,,"IL8(t) < c(low) and globally[6,15](d_IL1β(t) > d_c(high)) and IL1β(t) > c(mid)",0.2622245,"globally[17,19](IL1Ra(t)=c(low) implies d_IgG(t) > 0)",0.48499388,"eventually[17,19]globally(SARSCoV2(t) < c(mid))",0.3653958,"eventually[17,∞](d_IL1β(t)=d_c(high) and IL8(t) < c(low))",0.30660778,,
IL6(t) > c(high) and d_IFNα(t) < d_c(low),0.82424366,IL6(t) > c(high) and d_IFNα(t)=d_c(low),0.8358218,,,d_IL6(t) > c(high) implies d_IFNα(t) < c(high),0.8087717,"eventually[10,∞]globally(IL6(t) > c(high) and IFNα(t) < c(low))",0.8418559,,,"globally[10,∞](d_IL6(t) > d_c(high) implies d_IFNα(t) < d_c(low))",0.7636882,"d_IFNα(t) < d_c(low) implies IL12(t)=c(high) and eventually[10,∞]globally(d_IL1β(t) > 0)",0.664824,"eventually[4,8]globally(d_IFNα(t) < 0) and d_IL6(t) > 0",0.8125473,"globally[10,∞](d_IL6(t) > d_c(low)) implies eventually[10,∞](d_IFNα(t)=c(low))",0.7883791,IL6(t) > c(high) and d_IFNα(t)=d_c(low),0.83582187,"globally[10,∞](d_IL6(t) > c(low))",0.6027456,d_IL6(t)=c(high) implies d_IFNα(t) < d_c(low),0.7920729,"globally[14,∞](d_IL1Ra(t) > d_c(high))",0.4729524,"d_IL6(t) > d_c(low) and eventually[10,∞]globally(d_IFNα(t) < 0)",0.80286616,"globally[10, ∞](IL6(t) > c(high)) implies eventually[10, ∞](d_IFNα(t) < d_c(low))",0.77577513,,,"globally[10,∞](d_IL6(t) = c(high) implies d_IFNα(t) < d_c(low))",0.80544204
,,"d_TNFα(t) < d_c(low) and eventually[6,11](SARSCoV2(t) > c(high) implies TNFα(t) < c(high))",0.50702786,,,IL1Ra(t) < c(high) implies IL6(t) < c(high),0.29155874,,,IL6(t)=c(high) implies IL12(t) > c(high),0.24013773,,,,,,,"globally[2,∞](d_TNFα(t) = c(high) and d_SARSCoV2(t) = c(high)) and eventually[2,∞](d_TNFα(t) < d_c(low) and d_SARSCoV2(t) < d_c(low))",0.50909424,,,"d_TNFα(t) < d_c(low) and eventually[6,11](SARSCoV2(t) > c(high) implies TNFα(t) < c(high))",0.50702786,,,IL6(t) > c(mid) and IL1β(t) > c(mid),0.30340225,"eventually[2, ∞]globally(IL1Ra(t) > c(high) and IL1β(t) < c(low))",0.39830434,,,d_MERSCoV(t) = c(high) and d_SARSCoV(t) = c(high),0.3970681,"globally[2,∞](d_IL1Ra(t) > d_c(high) implies d_SARSCoV2(t) < d_c(low))",0.40033466
IFNα(t) < c(low) implies IFNα(t) < c(mid),0.44009832,IFNα(t) < c(high),0.5139018,,,d_IFNα(t)=c(low) implies d_IFNβ(t) > 0,0.40344477,d_IFNα(t) < c(high),0.5139018,,,IFNα(t) > c(high) implies IFNα(t)=c(mid),0.4660488,,,,,d_IFNα(t) < d_c(low) and d_CCR2(t) > d_c(low),0.45696503,d_IFNα(t) < d_c(high) implies d_IL8(t) < c(low) and d_IL1β(t) < c(low),0.40488634,,,"globally[0,∞](IL8(t) < c(mid)) and globally[0,∞](IFNβ(t) < c(high))",0.34134692,,,"globally[4,13](d_IFNα(t) > 0 and d_IL6(t) < 0)",0.38245913,d_IL8(t) > c(mid) and d_IFNα(t) < d_c(low),0.46625143,"globally[5,∞](TNFα(t) < c(low)) and IL6(t) > c(low)",0.34060305,d_IFNα(t) < c(low),0.5078008
,,IL1α(t) < c(low),0.67481595,,,IL1α(t) < c(mid),0.66837406,"globally[0,∞](d_IL1α(t) = 0)",0.53997827,IL1Ra(t) < c(low),0.5401024,"globally[0,∞](d_IL1α(t) < d_c(low))",0.54001117,IL1α(t)=c(high),0.6180905,,,"globally[0, ∞](IL1α(t) < c(low))",0.57373595,IL1α(t) = c(low),0.6308896,,,IL1α(t) = c(low),0.6308896,IL1α(t) < c(low),0.674816,"IL1α(t) < c(low) and globally[0,∞](d_IL1α(t) = 0)",0.6015551,IL1α(t) < c(low),0.674816,,,"globally[∞,∞](d_IL1α(t) > c(low))",0.55060637
,,"eventually[7,12]globally(d_CCL2(t)=c(mid)) implies eventually[4,5](d_IL1α(t) < c(low)) and d_CCR2(t) = c(high)",0.40471163,,,,,"globally[0,∞](d_CCL2(t)=c(high) implies d_CCR2(t)=c(high))",0.34873527,"globally[0,∞](d_CCL2(t) > 0) implies eventually[1,∞](IFNα(t) > c(high))",0.23209892,"eventually[4, ∞]globally(IL1Ra(t) > c(mid))",0.14740098,"globally[3,∞](d_CCL2(t) > c(low) implies IL6(t) < c(high))",0.3244327,,,,,"globally[4,∞](d_CCR2(t) = c(mid)) and globally[1,1](d_CCL2(t) = d_c(low))",0.31939864,d_TNFα(t)=0 and IL12(t) < c(high),0.23620075,"globally[2,∞](d_IL1β(t) < d_c(high))
",0.2636404,"globally[0,∞](d_CCL2(t)=c(low) implies IL8(t) > c(mid))",0.33211428,"eventually[6,20]globally(IFNα(t) < c(mid) and TNFα(t)=c(low)) and eventually[1,11](d_IL6(t) < 0)",0.17260252,"globally[7,15](SARSCoV2(t)=c(mid))",0.20585325,,,"eventually[6,15]globally(d_IL6(t)=0)",0.113440074
,,"eventually[2,4]globally(d_IP10(t) < c(low))",0.6810145,"globally[2,4](d_IP10(t) < 0)",0.56170267,,,"eventually[2,4](d_IP10(t) < c(low))",0.6880699,"eventually[2,4]globally(d_IP10(t)=d_c(low))",0.53535545,,,"globally[1,4](d_IP10(t) < d_c(low)) implies eventually[2,4](IL6(t) = c(mid))",0.55229676,,,"globally[2,4](IP10(t) < c(low)) implies eventually[2,4](IP10(t) = c(mid))",0.6309874,,,"globally[2,4](d_IP10(t) > d_c(low))",0.5038481,,,"eventually[2,4]globally(d_IP10(t) < c(low))",0.68101454,,,,,"d_IP10(t) > d_c(low) and globally[2,4](d_IP10(t) < 0)",0.49835575,"eventually[4,5](d_IFNα(t)=d_c(low)) and eventually[12,15](SARSCoV2(t)=c(high))",0.38272703
"globally[1,∞](IL1β(t) > c(high)) and SARSCoV2(t) < c(low)",0.40846407,"eventually[6,9](IP10(t) > c(mid))",0.5500546,,,"globally[9,∞](IL1β(t) < c(low))",0.40280724,IL1Ra(t) > c(mid),0.29630208,,,"eventually[6,∞](IL8(t) > c(mid))",0.38840613,,,"eventually[1,∞]globally(d_IP10(t)=0)",0.41353175,"eventually[1,∞]globally(d_IL1β(t) > c(high))",0.3582429,"eventually[16,∞]globally(IL1RN(t)=c(low))",0.2837572,"eventually[6,9](IP10(t) > c(mid))",0.5500546,"globally[1,7](IP10(t) < c(low)) and d_IP10(t)=d_c(low)",0.47223413,,,d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),0.34754604,IL12(t) < c(mid) implies d_IFNβ(t)=d_c(low),0.32015806,IL1β(t) < c(low) implies IL6(t)=c(low),0.36630404,"globally[7,11](TNFα(t) < c(mid))",0.4143923
,,"d_MCP1(t) > c(high) and eventually[1,2](d_MCP1(t) = d_c(high)) implies globally[3,4](d_MCP1(t) < c(low))",0.58373,IL1Ra(t)=c(low) and IL1Ra(t) < c(high),0.22595401,"eventually[1,2](d_MCP1(t)=c(high)) implies globally[0,4](MCP1(t) > c(low))",0.5637809,,,,,,,SARSCoV2(t) < c(high) implies d_IL12(t) < d_c(high),0.25210434,"eventually[1,∞]globally(IL1Ra(t) > c(high)) and MCP1(t) < c(low)",0.6013719,"globally[1,2](MCP1(t)=c(high) implies d_MCP1(t)=c(high)) and globally[3,4](MCP1(t) < c(high) implies d_MCP1(t) < d_c(high))",0.5074141,,,,,"d_MCP1(t) > c(high) and eventually[1,2](d_MCP1(t) = d_c(high)) implies globally[3,4](d_MCP1(t) < c(low))",0.58373,"globally[1,2](d_IL6(t) > c(mid)) and globally[3,4](d_IL12(t) > c(low)) implies globally[1,2](IL6(t) > c(high)) and globally[3,4](IL12(t) > c(high))",0.31421483,SARSCoV2(t) < c(high) implies d_IL12(t) < d_c(high),0.25210434,d_IL1Ra(t)=d_c(high) and IL1Ra(t) < c(mid) and IFNβ(t) < c(low) implies d_IL1β(t) > d_c(high),0.2811604,"globally[1,∞](IL1Ra(t)=c(high) and d_IL1Ra(t)=d_c(low)) and IL1Ra(t) > c(mid)",0.31398118,,
