S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
N/A,N/A,0.44009835,IFNα(t) < c(low) implies IFNα(t) < c(mid),,,N/A,N/A,N/A,N/A,N/A,N/A,0.39872497,"eventually[7,16](IFNβ(t)=c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5139018,IFNα(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.36746818,"globally[0, inf](IFNα(t) < c(mid)) and eventually[7, 12]globally(IL1β(t) < c(mid))",,,,,0.40488636,d_IFNα(t) < d_c(high) implies d_IL8(t) < c(low) and d_IL1β(t) < c(low),0.38070238,IL1Ra(t) < c(mid) and d_IFNβ(t) > 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.30463463,IL1β(t) > c(high) and SARSCoV2(t) < c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.34134686,"globally[0,inf](IL8(t) < c(mid)) and globally[0,inf](IFNβ(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.2862177,IL8(t) > c(mid) implies IL1Ra(t)=c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.3824591,"globally[4,13](d_IFNα(t) > 0 and d_IL6(t) < 0)",N/A,N/A,0.4213658,"globally[3,17](IL1RN(t) > c(low) and IL8(t) > c(high)) and TNFα(t) = c(low) and IFNα(t) < c(high)",0.46625143,d_IL8(t) > c(mid) and d_IFNα(t) < d_c(low),0.3702599,"d_IFNα(t) < d_c(low) and globally[0,3](d_IFNα(t) < d_c(low))",N/A,N/A,N/A,N/A,0.2666606,"globally[0,inf](IL1β(t) < c(low))",0.340603,"globally[5,inf](TNFα(t) < c(low)) and IL6(t) > c(low)",N/A,N/A,N/A,N/A,N/A,N/A,0.5078008,d_IFNα(t) < c(low),0.2210607,"eventually[15,inf]globally(IL8(t)=c(mid))",0.38516498,"eventually[inf,inf]globally(d_IFNβ(t)=d_c(high) implies d_IL8(t) < c(low))"
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4034448,d_IFNα(t)=c(low) implies d_IFNβ(t) > 0,,,,,0.26073235,"eventually[6,inf](IL8(t) > c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5139018,d_IFNα(t) < c(high),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.41839236,"globally[2,4](IFNα(t)=c(mid) implies d_IFNα(t) < d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46604878,IFNα(t) > c(high) implies IFNα(t)=c(mid),,,N/A,N/A,N/A,N/A,N/A,N/A,0.4142565,IFNβ(t) < c(mid) implies IL1Ra(t) < c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45696503,d_IFNα(t) < d_c(low) and d_CCR2(t) > d_c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
