Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IL8(t)=c(low) implies IL1β(t) < c(low),0.24478886,N/A,N/A,0,1,0
d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),0.39155853,d_IL12(t) > 0 implies IL8(t) = c(mid),0.109713145,0,1,0
d_IL6(t) > c(low) and d_IL12(t) > c(mid) and d_IL1β(t) > c(low) and d_IL1Ra(t) > c(mid) and d_TNFα(t) > c(low) and d_IL8(t) > c(low) and d_IFNα(t) > c(mid) and d_IFNβ(t) > c(low) and d_SARSCoV2(t) > c(low) and d_IL1RN(t) > c(low),0.3454908,"globally[7,13](d_IL12(t) < d_c(low)) implies eventually[11,18]globally(d_IL1Ra(t)=d_c(low))",0.22102812,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[14,inf]globally(IFNβ(t) < c(low) implies d_IL1Ra(t)=d_c(high))",0.49589053,"eventually[1,inf]globally(d_IL6(t)=0 and d_IL1β(t)=0)",0.32407075,0,1,0
"globally[1,inf](d_IFNα(t) > 0)",0.46860188,"IL6(t) < c(low) and IL1Ra(t)=c(low) and globally[0,inf](d_IFNβ(t) > d_c(low)) implies eventually[7,inf](IL8(t)=c(mid))",0.43452764,0,1,0
d_IFNα(t)=0 and IL1β(t) > c(mid),0.48249933,N/A,N/A,0,1,0
d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),0.39155853,"d_IFNα(t)=d_c(low) implies d_IL8(t)=0 and eventually[1,inf]globally(d_TNFα(t) > 0)",0.40020356,1,0,0
d_IL1Ra(t)=d_c(high) and d_IFNβ(t)=d_c(low) and d_SARSCoV2(t)=c(high),0.44926164,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,inf](IL1β(t)=c(mid)) implies globally[0,inf](IFNβ(t) < c(high))",0.40748814,N/A,N/A,0,1,0
d_IFNα(t) < d_c(high) and d_IFNβ(t) < d_c(high) and d_SARSCoV2(t) > d_c(low),0.4692793,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
IL1RN(t)=c(low) and d_IL1β(t) < d_c(low),0.2949248,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
IFNα(t) > c(low) implies d_IFNα(t) < 0 and IFNβ(t) > c(low) implies d_IFNβ(t) < 0,0.35714638,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
