Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
d_IFNα(t) = d_c(low) implies IL6(t) = c(mid) and d_IFNβ(t) = d_c(low) implies IL1β(t) = c(mid),0.38005948,0
N/A,N/A,0
IL1β(t) > c(low) and IL1β(t) > c(low) implies d_IL1RN(t) < 0,0.23924497,0
IL1RN(t)=c(low) and d_IL1β(t) < d_c(low),0.29492483,0
"globally[1,5](d_IFNα(t)=c(high) implies d_IFNβ(t)=c(high))",0.48438793,0
N/A,N/A,0
IL8(t)=c(mid) implies IL1β(t) < c(high),0.23756006,0
"eventually[1,∞]globally(d_IFNα(t) > d_c(low) implies d_IFNα(t)=d_c(high)) and eventually[1,∞]globally(d_IFNβ(t) > d_c(low) implies d_IFNβ(t)=d_c(high)) and eventually[1,∞]globally(d_SARSCoV2(t) > d_c(low) implies d_SARSCoV2(t)=d_c(high))",0.47095263,0
"eventually[8,18]globally(d_IL1β(t)=d_c(high))",0.3625726,0
"eventually[1,17]globally(d_IFNα(t) < d_c(high) implies d_IL1RN(t)=0)",0.4751299,0
N/A,N/A,0
"globally[1,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=c(mid))",0.525119,0
d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),0.3915586,0
N/A,N/A,0
"globally[0,∞](d_IL6(t) > d_c(high)) implies eventually[0,∞]globally(IL1Ra(t) < c(mid))",0.25246143,0
"eventually[1,∞]globally(IL1Ra(t) < c(low) implies d_IFNα(t)=d_c(high)) and IL6(t)=c(mid) and IL1RN(t) > c(mid)",0.41785318,0
"globally[18,20](IL12(t)=c(low) and TNFα(t) < c(mid))",0.2753798,0
"globally[16,∞](d_IL6(t) < d_c(low)) implies eventually[0,15]globally(IL6(t) = c(mid))",0.20539668,0
