Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
"globally[1,7](IFNα(t)=c(low)) and globally[8,∞](IFNα(t) > c(mid))",0.4699368,"globally[1,7](IFNα(t)=c(low)) and globally[8,∞](IFNα(t) > c(mid))",0.4699368,"globally[1,7](IFNα(t)=c(low)) and globally[8,∞](IFNα(t) > c(mid))",0.4699368,0
"IL1Ra(t) = c(mid) and eventually[1,∞]globally(IL1Ra(t) < c(high) implies IL1Ra(t) = c(mid)) and IL1RN(t) > c(high) and IL8(t) < c(mid)",0.23556763,"IL1Ra(t) = c(mid) and eventually[1,∞]globally(IL1Ra(t) < c(high) implies IL1Ra(t) = c(mid)) and IL1RN(t) > c(high) and IL8(t) < c(mid)",0.23556763,"IL1Ra(t) = c(mid) and eventually[1,∞]globally(IL1Ra(t) < c(high) implies IL1Ra(t) = c(mid)) and IL1RN(t) > c(high) and IL8(t) < c(mid)",0.23556763,0
N/A,N/A,N/A,N/A,N/A,N/A,0
IL8(t) > c(low) and d_IFNα(t) > 0,0.43072173,IL8(t) > c(low) and d_IFNα(t) > 0,0.43072173,IL8(t) > c(low) and d_IFNα(t) > 0,0.43072173,0
"globally[1,∞](IL1Ra(t) > c(high)) and eventually[1,∞](d_IFNα(t)=0 implies IL1Ra(t) < c(low))",0.37068176,"globally[1,∞](IL1Ra(t) > c(high)) and eventually[1,∞](d_IFNα(t)=0 implies IL1Ra(t) < c(low))",0.37068176,"globally[1,∞](IL1Ra(t) > c(high)) and eventually[1,∞](d_IFNα(t)=0 implies IL1Ra(t) < c(low))",0.37068176,0
"globally[1,∞](IFNα(t) < c(mid) and IL6(t) = c(low))",0.5320698,"globally[1,∞](IFNα(t) < c(mid) and IL6(t) = c(low))",0.5320698,"globally[1,∞](IFNα(t) < c(mid) and IL6(t) = c(low))",0.5320698,0
IL6(t) > c(mid) implies SARSCoV2(t) < c(high),0.33667135,IL6(t) > c(mid) implies SARSCoV2(t) < c(high),0.33667135,IL6(t) > c(mid) implies SARSCoV2(t) < c(high),0.33667135,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1, ∞](d_IFNβ(t) = c(high) and IL1β(t) < c(low))",0.57437503,"globally[1, ∞](d_IFNβ(t) = c(high) and IL1β(t) < c(low))",0.57437503,"globally[1, ∞](d_IFNβ(t) = c(high) and IL1β(t) < c(low))",0.57437503,0
IL6(t) < c(low) and IL1Ra(t)=c(low),0.21880491,IL6(t) < c(low) and IL1Ra(t)=c(low),0.21880491,IL6(t) < c(low) and IL1Ra(t)=c(low),0.21880491,0
IFNα(t) > c(mid) implies IFNα(t) > c(high),0.4804777,IFNα(t) > c(mid) implies IFNα(t) > c(high),0.4804777,IFNα(t) > c(mid) implies IFNα(t) > c(high),0.4804777,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,∞]globally(d_IFNα(t) < d_c(low) implies d_IFNα(t)=d_c(high))",0.3397525,"eventually[1,∞]globally(d_IFNα(t) < d_c(low) implies d_IFNα(t)=d_c(high))",0.3397525,"globally[1,∞](d_IFNβ(t)=c(mid)) and IFNα(t) > c(mid)",0.5951912,1
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
