Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
"globally[1,7](d_IFNβ(t) = c(low)) and eventually[8,14](d_IFNβ(t) > d_c(high)) and d_IFNβ(t) > c(mid)",0.5886463,0
d_IFNβ(t) = d_c(low) implies d_IL6(t) < d_c(high) and d_IFNβ(t) = d_c(high) implies d_IL1β(t) > d_c(high) and d_IFNβ(t) = d_c(low) implies d_IL6(t) < d_c(high) and d_IFNβ(t) = d_c(high) implies d_IL1β(t) > d_c(high),0.42540208,0
IL8(t) > c(mid) implies d_IFNα(t) > d_c(low) and d_IL1β(t) > d_c(high),0.39813656,0
"globally[8,∞](d_IFNβ(t) > d_c(high))",0.48369673,0
IFNα(t) < c(mid) implies IL6(t)=c(low) and d_IFNα(t) < d_c(high),0.47266948,0
"globally[6,∞](d_IL1β(t) < 0)",0.38430762,0
"globally[8,∞](d_IL1β(t) > c(mid)) implies eventually[16,∞](d_IL1β(t) < 0)",0.34936184,0
"d_IFNβ(t) > c(low) and eventually[8,14]globally(d_IFNβ(t)=d_c(low) implies d_IFNβ(t)=c(low))",0.5150168,0
d_IFNα(t) < d_c(high) implies TNFα(t) < c(low),0.37457278,0
"d_IFNβ(t)=d_c(low) implies IL8(t) < c(low) and eventually[7,∞](d_IFNα(t) > d_c(high) and IL8(t) > c(high))",0.41883487,0
IFNα(t) < c(high) and d_IFNα(t) < d_c(high),0.39507985,0
IL8(t) > c(mid) implies IFNβ(t)=c(high),0.5287558,0
N/A,N/A,0
"eventually[17,∞]globally(IL1Ra(t) < c(high))",0.24312292,0
N/A,N/A,0
"globally[7,∞](d_IFNβ(t)=0) implies eventually[15,∞](IFNβ(t) < c(high))",0.53207636,0
"eventually[8,∞]globally(IFNα(t) > c(mid))",0.45905507,0
"globally[0,∞](d_IL6(t) < c(high)) and eventually[7,∞]globally(d_IL6(t) > d_c(high))",0.28514415,0
