Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IL6(t) > c(high) and IL6(t) < c(low),0.7253518,IL6(t) > c(high) and IL6(t) < c(low),0.7253518,IL6(t) > c(high) and IL6(t) < c(low),0.7253518,0,0,2
"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.7253518,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.7253518,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.7253518,0,0,2
"globally[1,∞](d_IL6(t) < 0)",0.7253518,"globally[1,∞](d_IL6(t) < 0)",0.7253518,"globally[1,∞](d_IL6(t) < 0)",0.7253518,0,0,2
"globally[0,∞](d_IL6(t) < d_c(high))",0.7253518,"globally[0,∞](d_IL6(t) < d_c(high))",0.7253518,"globally[0,∞](d_IL6(t) < d_c(high))",0.7253518,0,0,2
"eventually[1,∞]globally(d_IL6(t)=0)",0.7253518,"eventually[1,∞]globally(d_IL6(t)=0)",0.7253518,"eventually[1,∞]globally(d_IL6(t)=0)",0.7253518,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[14,∞]globally(IFNβ(t) < c(low) implies d_IL1Ra(t)=d_c(high))",0.7253518,"eventually[14,∞]globally(IFNβ(t) < c(low) implies d_IL1Ra(t)=d_c(high))",0.7253518,"eventually[14,∞]globally(IFNβ(t) < c(low) implies d_IL1Ra(t)=d_c(high))",0.7253518,0,0,2
IL6(t) > c(high) implies d_IL6(t) < d_c(high),0.7253518,IL6(t) > c(high) implies d_IL6(t) < d_c(high),0.7253518,IL6(t) > c(high) implies d_IL6(t) < d_c(high),0.7253518,0,0,2
"IL6(t) = c(high) and eventually[0,1]globally(d_IL6(t) < d_c(low)) implies globally[11,∞](d_IFNα(t) > 0)",0.7253518,"IL6(t) = c(high) and eventually[0,1]globally(d_IL6(t) < d_c(low)) implies globally[11,∞](d_IFNα(t) > 0)",0.7253518,"IL6(t) = c(high) and eventually[0,1]globally(d_IL6(t) < d_c(low)) implies globally[11,∞](d_IFNα(t) > 0)",0.7253518,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[1,∞](d_IL6(t) < 0 and IL6(t) < c(low))",0.7253518,"eventually[1,∞](d_IL6(t) < 0 and IL6(t) < c(low))",0.7253518,"eventually[1,∞](d_IL6(t) < 0 and IL6(t) < c(low))",0.7253518,0,0,2
"globally[1,7](d_IL6(t) = c(high)) and globally[1,7](d_IL6(t) > d_c(low))",0.7253518,"globally[1,7](d_IL6(t) = c(high)) and globally[1,7](d_IL6(t) > d_c(low))",0.7253518,"globally[1,7](d_IL6(t) = c(high)) and globally[1,7](d_IL6(t) > d_c(low))",0.7253518,0,0,2
